date,fx_rate_usd_ngn
2002-01-07,120.97
2002-01-14,120.97
2002-01-21,120.97
2002-01-28,120.97
2002-02-04,120.97
2002-02-11,120.97
2002-02-18,120.97
2002-02-25,120.97
2002-03-04,120.97
2002-03-11,120.97
2002-03-18,120.97
2002-03-25,120.97
2002-04-01,120.97
2002-04-08,120.97
2002-04-15,120.97
2002-04-22,120.97
2002-04-29,120.97
2002-05-06,120.97
2002-05-13,120.97
2002-05-20,120.97
2002-05-27,120.97
2002-06-03,120.97
2002-06-10,120.97
2002-06-17,120.97
2002-06-24,120.97
2002-07-01,120.97
2002-07-08,120.97
2002-07-15,120.97
2002-07-22,120.97
2002-07-29,120.97
2002-08-05,120.97
2002-08-12,120.97
2002-08-19,120.97
2002-08-26,120.97
2002-09-02,120.97
2002-09-09,120.97
2002-09-16,120.97
2002-09-23,120.97
2002-09-30,120.97
2002-10-07,120.97
2002-10-14,120.97
2002-10-21,120.97
2002-10-28,120.97
2002-11-04,120.97
2002-11-11,120.97
2002-11-18,120.97
2002-11-25,120.97
2002-12-02,120.97
2002-12-09,120.97
2002-12-16,120.97
2002-12-23,120.97
2002-12-30,120.97
2003-01-06,129.22
2003-01-13,129.22
2003-01-20,129.22
2003-01-27,129.22
2003-02-03,129.22
2003-02-10,129.22
2003-02-17,129.22
2003-02-24,129.22
2003-03-03,129.22
2003-03-10,129.22
2003-03-17,129.22
2003-03-24,129.22
2003-03-31,129.22
2003-04-07,129.22
2003-04-14,129.22
2003-04-21,129.22
2003-04-28,129.22
2003-05-05,129.22
2003-05-12,129.22
2003-05-19,129.22
2003-05-26,129.22
2003-06-02,129.22
2003-06-09,129.22
2003-06-16,129.22
2003-06-23,129.22
2003-06-30,129.22
2003-07-07,129.22
2003-07-14,129.22
2003-07-21,129.22
2003-07-28,129.22
2003-08-04,129.22
2003-08-11,129.22
2003-08-18,129.22
2003-08-25,129.22
2003-09-01,129.22
2003-09-08,129.22
2003-09-15,129.22
2003-09-22,129.22
2003-09-29,129.22
2003-10-06,129.22
2003-10-13,129.22
2003-10-20,129.22
2003-10-27,129.22
2003-11-03,129.22
2003-11-10,129.22
2003-11-17,129.22
2003-11-24,129.22
2003-12-01,129.22
2003-12-08,129.22
2003-12-15,129.22
2003-12-22,129.22
2003-12-29,129.22
2004-01-05,133.5
2004-01-12,133.5
2004-01-19,133.5
2004-01-26,133.5
2004-02-02,133.5
2004-02-09,133.5
2004-02-16,133.5
2004-02-23,133.5
2004-03-01,133.5
2004-03-08,133.5
2004-03-15,133.5
2004-03-22,133.5
2004-03-29,133.5
2004-04-05,133.5
2004-04-12,133.5
2004-04-19,133.5
2004-04-26,133.5
2004-05-03,133.5
2004-05-10,133.5
2004-05-17,133.5
2004-05-24,133.5
2004-05-31,133.5
2004-06-07,133.5
2004-06-14,133.5
2004-06-21,133.5
2004-06-28,133.5
2004-07-05,133.5
2004-07-12,133.5
2004-07-19,133.5
2004-07-26,133.5
2004-08-02,133.5
2004-08-09,133.5
2004-08-16,133.5
2004-08-23,133.5
2004-08-30,133.5
2004-09-06,133.5
2004-09-13,133.5
