date,headline_inflation_yoy,food_inflation_yoy
2016-01-04,11.4,12.5
2016-01-11,11.4,12.5
2016-01-18,11.4,12.5
2016-01-25,11.4,12.5
2016-02-01,11.4,12.5
2016-02-08,11.4,12.5
2016-02-15,11.4,12.5
2016-02-22,11.4,12.5
2016-02-29,11.4,12.5
2016-03-07,11.4,12.5
2016-03-14,11.4,12.5
2016-03-21,11.4,12.5
2016-03-28,11.4,12.5
2016-04-04,11.4,12.5
2016-04-11,11.4,12.5
2016-04-18,11.4,12.5
2016-04-25,11.4,12.5
2016-05-02,11.4,12.5
2016-05-09,11.4,12.5
2016-05-16,11.4,12.5
2016-05-23,11.4,12.5
2016-05-30,11.4,12.5
2016-06-06,11.4,12.5
2016-06-13,11.4,12.5
2016-06-20,11.4,12.5
2016-06-27,11.4,12.5
2016-07-04,11.4,12.5
2016-07-11,11.4,12.5
2016-07-18,11.4,12.5
2016-07-25,11.4,12.5
2016-08-01,17.6,19.4
2016-08-08,17.6,19.4
2016-08-15,17.6,19.4
2016-08-22,17.6,19.4
2016-08-29,17.6,19.4
2016-09-05,17.6,19.4
2016-09-12,17.6,19.4
2016-09-19,17.6,19.4
2016-09-26,17.6,19.4
2016-10-03,17.6,19.4
2016-10-10,17.6,19.4
2016-10-17,17.6,19.4
2016-10-24,17.6,19.4
2016-10-31,17.6,19.4
2016-11-07,17.6,19.4
2016-11-14,17.6,19.4
2016-11-21,17.6,19.4
2016-11-28,17.6,19.4
2016-12-05,17.6,19.4
2016-12-12,17.6,19.4
2016-12-19,17.6,19.4
2016-12-26,17.6,19.4
2017-01-02,17.6,19.4
2017-01-09,17.6,19.4
2017-01-16,17.6,19.4
2017-01-23,17.6,19.4
2017-01-30,17.6,19.4
2017-02-06,17.6,19.4
2017-02-13,17.6,19.4
2017-02-20,17.6,19.4
2017-02-27,17.6,19.4
2017-03-06,17.6,19.4
2017-03-13,17.6,19.4
2017-03-20,17.6,19.4
2017-03-27,17.6,19.4
2017-04-03,17.6,19.4
2017-04-10,17.6,19.4
2017-04-17,17.6,19.4
2017-04-24,17.6,19.4
2017-05-01,16.3,17.9
2017-05-08,16.3,17.9
2017-05-15,16.3,17.9
2017-05-22,16.3,17.9
2017-05-29,16.3,17.9
2017-06-05,16.3,17.9
2017-06-12,16.3,17.9
2017-06-19,16.3,17.9
2017-06-26,16.3,17.9
2017-07-03,16.3,17.9
2017-07-10,16.3,17.9
2017-07-17,16.3,17.9
2017-07-24,16.3,17.9
2017-07-31,16.3,17.9
2017-08-07,16.3,17.9
2017-08-14,16.3,17.9
2017-08-21,16.3,17.9
2017-08-28,16.3,17.9
2017-09-04,16.3,17.9
2017-09-11,16.3,17.9
2017-09-18,16.3,17.9
2017-09-25,16.3,17.9
2017-10-02,16.3,17.9
2017-10-09,16.3,17.9
2017-10-16,16.3,17.9
2017-10-23,16.3,17.9
2017-10-30,16.3,17.9
2017-11-06,16.3,17.9
2017-11-13,16.3,17.9
2017-11-20,16.3,17.9
2017-11-27,16.3,17.9
2017-12-04,16.3,17.9
2017-12-11,16.3,17.9
2017-12-18,16.3,17.9
2017-12-25,16.3,17.9
2018-01-01,15.1,16.2
2018-01-08,15.1,16.2
2018-01-15,15.1,16.2
2018-01-22,15.1,16.2
2018-01-29,15.1,16.2
2018-02-05,15.1,16.2
2018-02-12,15.1,16.2
2018-02-19,15.1,16.2
2018-02-26,15.1,16.2
2018-03-05,15.1,16.2
2018-03-12,15.1,16.2
2018-03-19,15.1,16.2
2018-03-26,15.1,16.2
2018-04-02,15.1,16.2
2018-04-09,15.1,16.2
2018-04-16,15.1,16.2
2018-04-23,15.1,16.2
2018-04-30,15.1,16.2
2018-05-07,15.1,16.2
2018-05-14,15.1,16.2
2018-05-21,15.1,16.2
2018-05-28,15.1,16.2
2018-06-04,15.1,16.2
2018-06-11,15.1,16.2
2018-06-18,15.1,16.2
2018-06-25,15.1,16.2
2018-07-02,15.1,16.2
2018-07-09,15.1,16.2
2018-07-16,15.1,16.2
2018-07-23,15.1,16.2
2018-07-30,15.1,16.2
2018-08-06,15.1,16.2
2018-08-13,15.1,16.2
2018-08-20,15.1,16.2
