zone,state,commodity,price_factor,is_primary_product,zone_default
North West,Kano,Hibiscus,0.95,False,0.87
North West,Kano,Sesame,0.83,True,0.87
North West,Kano,Ginger,0.98,False,0.87
North West,Kano,Cocoa,1.02,False,0.87
North West,Kano,Soybeans,0.9,False,0.87
North West,Kano,Cashew Nuts,1.0,False,0.87
North West,Kano,Sorghum,0.78,True,0.87
North West,Kano,Beans (white),0.87,True,0.87
North West,Kano,Beans (red),0.9,False,0.87
North West,Kano,Maize (white),0.8,True,0.87
North West,Kano,Maize (yellow),0.8,True,0.87
North West,Kano,Wheat,0.89,True,0.87
North West,Kaduna,Hibiscus,0.93,False,0.87
North West,Kaduna,Sesame,0.85,False,0.87
North West,Kaduna,Ginger,0.72,True,0.87
North West,Kaduna,Cocoa,1.05,False,0.87
North West,Kaduna,Soybeans,0.84,True,0.87
North West,Kaduna,Cashew Nuts,1.02,False,0.87
North West,Kaduna,Sorghum,0.8,True,0.87
North West,Kaduna,Beans (white),0.88,False,0.87
North West,Kaduna,Beans (red),0.91,False,0.87
North West,Kaduna,Maize (white),0.81,True,0.87
North West,Kaduna,Maize (yellow),0.81,True,0.87
North West,Kaduna,Wheat,0.87,True,0.87
North Central,Plateau,Hibiscus,0.97,False,0.95
North Central,Plateau,Sesame,0.96,False,0.95
North Central,Plateau,Ginger,0.75,True,0.95
North Central,Plateau,Cocoa,1.08,False,0.95
North Central,Plateau,Soybeans,0.83,True,0.95
North Central,Plateau,Cashew Nuts,1.05,False,0.95
North Central,Plateau,Sorghum,0.92,False,0.95
North Central,Plateau,Beans (white),0.9,True,0.95
North Central,Plateau,Beans (red),0.95,False,0.95
North Central,Plateau,Maize (white),0.87,True,0.95
North Central,Plateau,Maize (yellow),0.88,False,0.95
North Central,Plateau,Wheat,0.91,True,0.95
North Central,Kogi,Hibiscus,0.96,False,0.95
North Central,Kogi,Sesame,0.97,False,0.95
North Central,Kogi,Ginger,0.94,False,0.95
North Central,Kogi,Cocoa,0.88,True,0.95
North Central,Kogi,Soybeans,0.87,True,0.95
North Central,Kogi,Cashew Nuts,0.8,True,0.95
North Central,Kogi,Sorghum,0.91,True,0.95
North Central,Kogi,Beans (white),0.92,True,0.95
North Central,Kogi,Beans (red),0.94,False,0.95
North Central,Kogi,Maize (white),0.9,True,0.95
North Central,Kogi,Maize (yellow),0.91,False,0.95
North Central,Kogi,Wheat,0.97,False,0.95
North East,Adamawa,Hibiscus,0.98,False,1.02
North East,Adamawa,Sesame,0.86,True,1.02
North East,Adamawa,Ginger,0.83,True,1.02
North East,Adamawa,Cocoa,1.05,False,1.02
North East,Adamawa,Soybeans,0.89,True,1.02
North East,Adamawa,Cashew Nuts,1.04,False,1.02
North East,Adamawa,Sorghum,0.87,True,1.02
North East,Adamawa,Beans (white),0.92,True,1.02
North East,Adamawa,Beans (red),0.95,False,1.02
North East,Adamawa,Maize (white),0.88,True,1.02
North East,Adamawa,Maize (yellow),0.89,False,1.02
North East,Adamawa,Wheat,0.98,False,1.02
North East,Borno,Hibiscus,1.05,False,1.02
North East,Borno,Sesame,0.89,True,1.02
North East,Borno,Ginger,1.15,False,1.02
North East,Borno,Cocoa,1.18,False,1.02
North East,Borno,Soybeans,1.08,False,1.02
North East,Borno,Cashew Nuts,1.15,False,1.02
North East,Borno,Sorghum,0.92,True,1.02
North East,Borno,Beans (white),1.06,True,1.02
North East,Borno,Beans (red),1.1,False,1.02
North East,Borno,Maize (white),1.08,True,1.02
North East,Borno,Maize (yellow),1.08,False,1.02
North East,Borno,Wheat,1.12,True,1.02
South West,Oyo,Hibiscus,1.03,True,1.16
South West,Oyo,Sesame,1.06,False,1.16
South West,Oyo,Ginger,1.08,False,1.16
South West,Oyo,Cocoa,0.89,True,1.16
South West,Oyo,Soybeans,1.04,True,1.16
South West,Oyo,Cashew Nuts,0.86,True,1.16
South West,Oyo,Sorghum,1.05,False,1.16
South West,Oyo,Beans (white),1.1,True,1.16
South West,Oyo,Beans (red),1.12,False,1.16
South West,Oyo,Maize (white),1.08,True,1.16
South West,Oyo,Maize (yellow),1.08,False,1.16
South West,Oyo,Wheat,1.1,False,1.16
South West,Lagos,Hibiscus,1.15,True,1.16
South West,Lagos,Sesame,1.18,True,1.16
South West,Lagos,Ginger,1.2,False,1.16
South West,Lagos,Cocoa,1.08,True,1.16
South West,Lagos,Soybeans,1.22,True,1.16
South West,Lagos,Cashew Nuts,1.1,False,1.16
South West,Lagos,Sorghum,1.18,False,1.16
South West,Lagos,Beans (white),1.28,True,1.16
South West,Lagos,Beans (red),1.25,True,1.16
South West,Lagos,Maize (white),1.3,True,1.16
South West,Lagos,Maize (yellow),1.3,True,1.16
South West,Lagos,Wheat,1.15,False,1.16
South East,Anambra,Hibiscus,1.12,False,1.13
South East,Anambra,Sesame,1.16,False,1.13
South East,Anambra,Ginger,1.15,False,1.13
South East,Anambra,Cocoa,1.05,True,1.13
South East,Anambra,Soybeans,1.14,False,1.13
South East,Anambra,Cashew Nuts,1.1,True,1.13
South East,Anambra,Sorghum,1.14,False,1.13
South East,Anambra,Beans (white),1.18,True,1.13
South East,Anambra,Beans (red),1.15,True,1.13
South East,Anambra,Maize (white),1.2,True,1.13
South East,Anambra,Maize (yellow),1.2,False,1.13
South East,Anambra,Wheat,1.18,False,1.13
South East,Imo,Hibiscus,1.1,False,1.13
South East,Imo,Sesame,1.14,False,1.13
South East,Imo,Ginger,1.12,False,1.13
South East,Imo,Cocoa,0.91,True,1.13
South East,Imo,Soybeans,1.12,False,1.13
South East,Imo,Cashew Nuts,1.06,True,1.13
South East,Imo,Sorghum,1.12,False,1.13
South East,Imo,Beans (white),1.15,True,1.13
