commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Beans (red),2016-01-11,1680000.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM data — converted to NGN/MT,WFP,historical,False,,,199.0,146.55625,122.736875,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1,8442.21,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33430494661736,1.0,0,0,0.0,1508078.99,0,2016,1
Beans (red),2016-01-18,1680000.0,NGN,NGN/MT,WFP Nigeria Food Prices,retail,National,,,0.9,True,WFP VAM data — converted from NGN/2.5KG to NGN/MT (×400),Agricome,historical,False,,,199.0,146.55625,122.736875,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,8442.21,1680000.0,,,,,,,1680000.0,0.0,1680000.0,0.0,1680000.0,0.0,1680000.0,0.0,1680000.0,1680000.0,1680000.0,1680000.0,0.0,,,,0.0,,,14.33430494661736,1.0,0,0,0.0,1508078.99,1,2016,1
Beans (red),2016-01-25,1577550.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,146.55625,122.736875,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,7927.39,1680000.0,1680000.0,,,,,,1645850.0,59149.53507847716,1645850.0,59149.53507847716,1645850.0,59149.53507847716,1645850.0,59149.53507847716,1680000.0,1577550.0,1680000.0,1577550.0,-6.098214285714287,,,,0.0,-6.098214285714287,,14.271384202510413,1.0,0,0,0.0,1416113.11,2,2016,1
Beans (red),2016-02-01,1543400.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,146.55625,122.736875,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,7755.78,1577550.0,1680000.0,,,,,,1620237.5,70402.02855742155,1620237.5,70402.02855742155,1620237.5,70402.02855742155,1620237.5,70402.02855742155,1680000.0,1543400.0,1680000.0,1543400.0,-2.1647491363189775,,,,0.0,3.93346514939531,,14.249498980925607,1.0,0,0,0.0,1385457.81,3,2016,1
Beans (red),2016-02-08,1475100.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,146.55625,122.736875,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,7412.56,1543400.0,1577550.0,1680000.0,,,,,1569012.5,85375.00000000003,1591210.0,89052.30485506819,1591210.0,89052.30485506819,1591210.0,89052.30485506819,1680000.0,1475100.0,1680000.0,1475100.0,-4.425294803680191,-12.196428571428575,,,-1.395,-2.2605456673612134,,14.204237019988051,1.0,0,0,0.0,1324147.22,4,2016,1
Beans (red),2016-02-15,1406800.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,7069.35,1475100.0,1543400.0,1680000.0,,,,,1500712.5,75722.69997607505,1560475.0,109599.68864006868,1560475.0,109599.68864006868,1560475.0,109599.68864006868,1577550.0,1406800.0,1680000.0,1406800.0,-4.63019456308047,-16.261904761904766,,,-3.83,-0.20489975940027882,,14.156828890414808,0.906,0,0,0.0,1262836.62,5,2016,1
Beans (red),2016-02-22,1338500.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,6726.13,1406800.0,1475100.0,1577550.0,,,,,1440950.0,88174.92084865557,1528764.2857142857,130572.05773788189,1528764.2857142857,130572.05773788189,1528764.2857142857,130572.05773788189,1543400.0,1338500.0,1680000.0,1338500.0,-4.854990048336649,-15.153243954232831,,,-5.744,-0.22479548525617954,,14.107060889047233,0.906,0,0,0.0,1201526.03,6,2016,1
Beans (red),2016-02-29,1270200.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1,6382.91,1338500.0,1406800.0,1543400.0,,,,,1372650.0,88174.92084865557,1496443.75,151559.94909488078,1496443.75,151559.94909488078,1496443.75,151559.94909488078,1475100.0,1270200.0,1680000.0,1270200.0,-5.102726933134106,-17.701179214720742,,,-8.273,-0.24773688479745637,,14.054685713628295,0.906,0,0,0.0,1140215.44,7,2016,1
Beans (red),2016-03-07,1201900.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,6039.7,1270200.0,1338500.0,1475100.0,1680000.0,,,,1304350.0,88174.92084865557,1436681.25,162693.22564152098,1463716.6666666667,172449.0468225325,1463716.6666666667,172449.0468225325,1406800.0,1201900.0,1680000.0,1201900.0,-5.377105967564166,-18.52077825232188,,,-10.888,-0.2743790344300603,,13.999415027956509,0.906,0,0,0.0,1078904.85,8,2016,1
Beans (red),2016-03-14,1133600.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,0,5696.48,1201900.0,1270200.0,1406800.0,1680000.0,,,,1236050.0,88174.92084865557,1368381.25,160632.10392851115,1430705.0,193215.1081768136,1430705.0,193215.1081768136,1338500.0,1133600.0,1680000.0,1133600.0,-5.682669107246863,-19.419960193346597,,,-13.606,-0.30556313968269677,,13.940909849503596,0.925,0,0,0.0,1017594.25,9,2016,1
