commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Beans (white),2002-01-14,196870.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM,WFP,historical,False,,196870.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,1627.43,,,,,,,,,,,,,,,,,,,,,,,,,,,12.190303970895314,1.0,0,0,0.0,176723.52,0,2002,1
Beans (white),2002-01-21,198640.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,1642.06,196870.0,,,,,,,197755.0,1251.5790027001892,197755.0,1251.5790027001892,197755.0,1251.5790027001892,197755.0,1251.5790027001892,198640.0,196870.0,198640.0,196870.0,0.8990704525829285,,,,0.0,,,12.19925445440216,1.0,0,0,0.0,178312.39,1,2002,1
Beans (white),2002-01-28,199230.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,1,1646.94,198640.0,196870.0,,,,,,198246.66666666666,1228.1829396850212,198246.66666666666,1228.1829396850212,198246.66666666666,1228.1829396850212,198246.66666666666,1228.1829396850212,199230.0,196870.0,199230.0,196870.0,0.29701973419251626,,,,0.0,-0.6020507183904122,,12.202220234514671,1.0,0,0,0.0,178842.01,2,2002,1
Beans (white),2002-02-04,200410.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,1656.69,199230.0,198640.0,,,,,,198787.5,1475.0000000000034,198787.5,1475.0000000000034,198787.5,1475.0000000000034,198787.5,1475.0000000000034,200410.0,196870.0,200410.0,196870.0,0.5922802790744308,,,,0.0,0.29526054488191456,,12.208125536905994,1.0,0,0,0.0,179901.26,3,2002,1
Beans (white),2002-02-11,201590.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM,WFP,historical,False,,201590.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,1666.45,200410.0,199230.0,196870.0,,,,,199967.5,1308.2399117389318,199348.0,1789.558604796168,199348.0,1789.558604796168,199348.0,1789.558604796168,201590.0,198640.0,201590.0,196870.0,0.5887929744024856,2.397521206887787,,,0.311,-0.003487304671945246,,12.213996171325686,1.0,0,0,0.0,180960.5,4,2002,1
Beans (white),2002-02-18,209525.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,1732.04,201590.0,200410.0,198640.0,,,,,202688.75,4658.226370268698,201044.16666666666,4452.404313027591,201044.16666666666,4452.404313027591,201044.16666666666,4452.404313027591,209525.0,199230.0,209525.0,196870.0,3.936207153132587,5.479762384212639,,,0.818,3.3474141787301015,,12.252603115655873,1.0,0,0,0.0,188083.48,5,2002,1
Beans (white),2002-02-25,217460.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1,1797.64,209525.0,201590.0,199230.0,,,,,207246.25,7921.297636751195,203389.2857142857,7417.344779058651,203389.2857142857,7417.344779058651,203389.2857142857,7417.344779058651,217460.0,200410.0,217460.0,196870.0,3.787137573081978,9.150228379260161,,,1.896,-0.14906958005060922,,12.289774803088026,1.0,0,0,0.0,195206.46,6,2002,1
Beans (white),2002-03-04,225395.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,1863.23,217460.0,209525.0,200410.0,,,,,213492.5,10244.040950718621,206140.0,10377.324524448215,206140.0,10377.324524448215,206140.0,10377.324524448215,225395.0,201590.0,225395.0,196870.0,3.648946932769248,12.466942767326984,,,3.567,-0.13819064031272976,,12.32561413420142,1.0,0,0,0.0,202329.44,7,2002,1
Beans (white),2002-03-11,233330.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM,WFP,historical,False,,233330.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,0,1928.83,225395.0,217460.0,201590.0,196870.0,,,,221427.5,10244.040950718621,210697.5,13314.969019866327,209161.11111111112,13280.503279661923,209161.11111111112,13280.503279661923,233330.0,209525.0,233330.0,196870.0,3.5204862574591322,15.744828612530393,,,5.865,-0.12846067531011585,,12.360213325307432,1.0,0,0,0.0,209452.42,8,2002,1
Beans (white),2002-03-18,269768.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,2230.04,233330.0,225395.0,209525.0,198640.0,,,,236488.25,23113.13332826166,219588.5,23762.39651213657,215221.8,22893.108185652727,215221.8,22893.108185652727,269768.0,217460.0,269768.0,196870.0,15.61650880726868,28.752177544445768,,,9.881,12.096022549809547,,12.50532131622842,1.0,0,0,0.0,242161.58,9,2002,1
