commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Cashew Nuts,2010-01-04,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),101490.14,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.120536680255323,0.992708874098054,1,1336.03,,,,,,,,,,,,,,,,,,,,,,,,,,,12.210093301847891,1.0,0,0,0.333,180255.61,0,2010,1
Cashew Nuts,2010-01-11,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),99585.21,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1,1336.03,200804.75,,,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,,,,0.0,,,12.210093301847891,1.0,0,0,0.333,180255.61,1,2010,1
Cashew Nuts,2010-01-18,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),101943.07,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,1336.03,200804.75,200804.75,,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.333,180255.61,2,2010,1
Cashew Nuts,2010-01-25,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),104569.09,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,1336.03,200804.75,200804.75,,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.333,180255.61,3,2010,1
Cashew Nuts,2010-02-01,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),104262.42,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,1336.03,200804.75,200804.75,200804.75,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,0.0,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.667,180255.61,4,2010,1
Cashew Nuts,2010-02-08,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),104262.47,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,1336.03,200804.75,200804.75,200804.75,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,0.0,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.667,180255.61,5,2010,1
Cashew Nuts,2010-02-15,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),109974.52,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,1336.03,200804.75,200804.75,200804.75,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,0.0,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.667,180255.61,6,2010,1
Cashew Nuts,2010-02-22,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),107417.42,150.3,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,1336.03,200804.75,200804.75,200804.75,,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,0.0,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.667,180255.61,7,2010,1
Cashew Nuts,2010-03-01,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),108450.73,150.3,155.0,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,0,1336.03,200804.75,200804.75,200804.75,200804.75,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,0.0,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.667,180255.61,8,2010,1
Cashew Nuts,2010-03-08,200804.75,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),111790.45,150.3,155.0,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,1336.03,200804.75,200804.75,200804.75,200804.75,,,,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,0.0,200804.75,200804.75,200804.75,200804.75,0.0,0.0,,,0.0,0.0,,12.210093301847891,1.0,0,0,0.667,180255.61,9,2010,1
