commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Fish (dried),2016-01-11,1250000.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1,6281.41,,,,,,,,,,,,,,,,,,,,,,,,,,,14.038654909278163,1.0,0,0,0.0,1122082.59,0,2016,1
Fish (dried),2016-01-18,1198856.061,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,6024.4,1250000.0,,,,,,,1224428.0304999999,36164.22608349106,1224428.0304999999,36164.22608349106,1224428.0304999999,36164.22608349106,1224428.0304999999,36164.22608349106,1250000.0,1198856.061,1250000.0,1198856.061,-4.09151512,,,,0.0,,,13.996879211723641,1.0,0,0,0.0,1076172.41,1,2016,1
Fish (dried),2016-01-25,1147712.121,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,5767.4,1198856.061,1250000.0,,,,,,1198856.0606666666,51143.93949999989,1198856.0606666666,51143.93949999989,1198856.0606666666,51143.93949999989,1198856.0606666666,51143.93949999989,1250000.0,1147712.121,1250000.0,1147712.121,-4.2660617620216446,,,,0.0,-0.17454664202164416,,13.953281930033487,1.0,0,0,0.0,1030262.23,2,2016,1
Fish (dried),2016-02-01,1096568.182,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,5510.39,1147712.121,1198856.061,,,,,,1173284.091,66026.54185188038,1173284.091,66026.54185188038,1173284.091,66026.54185188038,1173284.091,66026.54185188038,1250000.0,1096568.182,1250000.0,1096568.182,-4.456164404314067,,,,0.0,-0.19010264229242235,,13.907696938329023,1.0,0,0,0.0,984352.05,3,2016,1
Fish (dried),2016-02-08,1045424.242,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,5253.39,1096568.182,1147712.121,1250000.0,,,,,1122140.1515,66026.54211007936,1147712.1212,80865.66866692653,1147712.1212,80865.66866692653,1147712.1212,80865.66866692653,1198856.061,1045424.242,1250000.0,1045424.242,-4.663999999226687,-16.36606064,,,-2.228,-0.20783559491261983,,13.859934290750973,1.0,0,0,0.0,938441.87,4,2016,1
Fish (dried),2016-02-15,994280.303,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,4996.38,1045424.242,1096568.182,1198856.061,,,,,1070996.212,66026.54185188063,1122140.1515,95681.54942926887,1122140.1515,95681.54942926887,1122140.1515,95681.54942926887,1147712.121,994280.303,1250000.0,994280.303,-4.892170751862091,-17.064246881260924,,,-4.558,-0.2281707526354042,,13.809775446607516,0.905,0,0,0.0,892531.69,5,2016,1
Fish (dried),2016-02-22,943136.364,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,4739.38,994280.303,1045424.242,1147712.121,,,,,1019852.27275,66026.54172278121,1096568.1818571428,110483.53650006473,1096568.1818571428,110483.53650006473,1096568.1818571428,110483.53650006473,1096568.182,943136.364,1250000.0,943136.364,-5.143814963012494,-17.824657704386137,,,-6.996,-0.2516442111504027,,13.756967218027333,0.905,0,0,0.0,846621.51,6,2016,1
Fish (dried),2016-02-29,891992.424,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1,4482.37,943136.364,994280.303,1096568.182,,,,,968708.3332499999,66026.54172278117,1070996.212125,125276.55500664926,1070996.212125,125276.55500664926,1070996.212125,125276.55500664926,1045424.242,891992.424,1250000.0,891992.424,-5.422751359420596,-18.655999814519518,,,-9.551,-0.27893639640810264,,13.701214039337662,0.905,0,0,0.0,800711.33,7,2016,1
Fish (dried),2016-03-07,840848.485,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,4225.37,891992.424,943136.364,1045424.242,1250000.0,,,,917564.394,66026.54185188052,1019852.27275,125276.55497748873,1045424.2424444444,140063.44644528616,1045424.2424444444,140063.44644528616,994280.303,840848.485,1250000.0,840848.485,-5.733674146093426,-19.568683103103325,,,-12.23,-0.3109227866728297,,13.642167951475237,0.905,0,0,0.0,754801.15,8,2016,1
Fish (dried),2016-03-14,789704.545,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,0,3968.36,840848.485,891992.424,994280.303,1198856.061,,,,866420.4545,66026.54211007927,968708.33325,125276.5549774888,1019852.2727,154845.96630774825,1019852.2727,154845.96630774825,943136.364,789704.545,1250000.0,789704.545,-6.0824204256013985,-20.575260053200505,,,-15.045,-0.34874627950797255,,13.579415427114814,0.924,0,0,0.0,708890.97,9,2016,1
