commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Maize (yellow),2014-05-12,70000.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM data — converted to NGN/MT,WFP,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,0,441.5,,,,,,,,,,,,,,,,,,,,,,,,,,,11.156264806643742,1.0,0,0,0.333,62836.62,0,2014,2
Maize (yellow),2014-05-19,70000.0,NGN,NGN/MT,WFP Nigeria Food Prices,retail,National,,,0.88,True,WFP VAM data — converted to NGN/MT,Agricome,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,0,441.5,70000.0,,,,,,,70000.0,0.0,70000.0,0.0,70000.0,0.0,70000.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,,,,0.0,,,11.156264806643742,1.0,0,0,0.333,62836.62,1,2014,2
Maize (yellow),2014-05-26,67911.93181818182,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.464723172043769,-0.8854560256532096,0,428.33,70000.0,70000.0,,,,,,69303.97727272728,1205.5467268590187,69303.97727272728,1205.5467268590187,69303.97727272728,1205.5467268590187,69303.97727272728,1205.5467268590187,70000.0,67911.93181818182,70000.0,67911.93181818182,-2.9829545454545414,,,,0.0,-2.9829545454545414,,11.125981749288771,1.0,0,0,0.333,60962.24,2,2014,2
Maize (yellow),2014-06-02,67215.90909090909,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.3546048870425358,-0.9350162426854148,0,423.94,67911.93181818182,70000.0,,,,,,68781.96022727274,1434.8876111879679,68781.96022727274,1434.8876111879679,68781.96022727274,1434.8876111879679,68781.96022727274,1434.8876111879679,70000.0,67215.90909090909,70000.0,67215.90909090909,-1.024890190336758,,,,0.0,1.9580643551177834,,11.115680118236012,1.0,0,0,0.667,60337.44,3,2014,2
Maize (yellow),2014-06-09,65823.86363636363,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.2393156642875576,-0.970941817426052,0,415.16,67215.90909090909,67911.93181818182,70000.0,,,,,67737.92613636363,1740.0568181818285,68190.34090909091,1815.0052150848337,68190.34090909091,1815.0052150848337,68190.34090909091,1815.0052150848337,70000.0,65823.86363636363,70000.0,65823.86363636363,-2.071005917159763,-5.9659090909090935,,,-0.663,-1.0461157268230048,,11.09475291275376,1.0,0,0,0.667,59087.85,4,2014,2
Maize (yellow),2014-06-16,64431.81818181818,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.120536680255323,-0.992708874098054,0,406.38,65823.86363636363,67215.90909090909,70000.0,,,,,66345.88068181818,1543.3300191450417,67563.92045454546,2233.788409824379,67563.92045454546,2233.788409824379,67563.92045454546,2233.788409824379,67911.93181818182,64431.81818181818,70000.0,64431.81818181818,-2.114803625377648,-7.954545454545459,,,-1.803,-0.04379770821788531,,11.073378381387476,1.0,0,0,0.667,57838.26,5,2014,2
Maize (yellow),2014-06-23,63039.77272727273,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0,397.6,64431.81818181818,65823.86363636363,67911.93181818182,,,,,65127.840909090904,1797.1229542061235,66917.61363636363,2661.2333742996393,66917.61363636363,2661.2333742996393,66917.61363636363,2661.2333742996393,67215.90909090909,63039.77272727273,70000.0,63039.77272727273,-2.160493827160481,-7.17423133235725,,,-2.675,-0.04569020178283312,,11.051536982186215,1.0,0,0,0.667,56588.66,6,2014,2
Maize (yellow),2014-06-30,61647.72727272727,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1.2246467991473532e-16,-1.0,-0.1205366802553228,-0.992708874098054,0,388.82,63039.77272727273,64431.81818181818,67215.90909090909,,,,,63735.795454545456,1797.122954206138,66258.87784090909,3088.994703201602,66258.87784090909,3088.994703201602,66258.87784090909,3088.994703201602,65823.86363636363,61647.72727272727,70000.0,61647.72727272727,-2.208201892744477,-8.284023668639051,,,-3.808,-0.04770806558399565,,11.029207863979185,1.0,0,0,0.667,55339.07,7,2014,2
Maize (yellow),2014-07-07,60255.681818181816,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,158.55,155.0,97.0,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.2393156642875574,-0.970941817426052,0,380.04,61647.72727272727,63039.77272727273,65823.86363636363,70000.0,,,,62343.74999999999,1797.1229542061571,65040.838068181816,3315.905786817236,65591.85606060606,3514.742485651577,65591.85606060606,3514.742485651577,64431.81818181818,60255.681818181816,70000.0,60255.681818181816,-2.2580645161290325,-8.45921450151057,,,-4.952,-0.049862623384555604,,11.006368746750367,1.0,0,0,0.667,54089.48,8,2014,3
Maize (yellow),2014-07-14,58863.63636363636,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM data — converted to NGN/MT,WFP,historical,False,,,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,0,371.26,60255.681818181816,61647.72727272727,64431.81818181818,70000.0,,,,60951.704545454544,1797.1229542061765,63648.79261363636,3273.8973664386035,64919.034090909096,3937.9826220650343,64919.034090909096,3937.9826220650343,63039.77272727273,58863.63636363636,70000.0,58863.63636363636,-2.310231023102316,-8.64197530864197,,,-6.111,-0.05216650697328351,,10.982995788030147,1.034,0,0,0.667,52839.89,9,2014,3
