commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Meat (beef),2016-06-13,975000.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,142.53,149.172,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1.2246467991473532e-16,-1.0,0.2393156642875576,-0.970941817426052,0,4899.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13.790193775620484,1.0,1,3,0.5,875224.42,0,2016,2
Meat (beef),2016-06-20,997915.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,142.53,149.172,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1.2246467991473532e-16,-1.0,0.120536680255323,-0.992708874098054,0,3271.85,975000.0,,,,,,,986457.5,16203.351890889737,986457.5,16203.351890889737,986457.5,16203.351890889737,986457.5,16203.351890889737,997915.0,975000.0,997915.0,975000.0,2.3502564102564127,,,,0.0,,,13.813424383414574,1.0,1,3,0.5,895794.43,1,2016,2
Meat (beef),2016-06-27,1020830.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,142.53,149.172,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0,3346.98,997915.0,975000.0,,,,,,997915.0,22915.0,997915.0,22915.0,997915.0,22915.0,997915.0,22915.0,1020830.0,975000.0,1020830.0,975000.0,2.296287759979565,,,,0.0,-0.05396865027684772,,13.836127559450112,1.0,1,3,0.5,916364.45,2,2016,2
Meat (beef),2016-07-04,1043745.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,142.53,149.172,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.1205366802553228,-0.992708874098054,0,3422.11,1020830.0,997915.0,,,,,,1009372.5,29583.137792780984,1009372.5,29583.137792780984,1009372.5,29583.137792780984,1009372.5,29583.137792780984,1043745.0,975000.0,1043745.0,975000.0,2.244742023647417,,,,0.0,-0.051545736332148095,,13.858326722804529,1.0,1,3,0.5,936934.47,3,2016,3
Meat (beef),2016-07-11,1066660.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,165.32,147.02083333333334,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.2393156642875574,-0.970941817426052,0,3497.25,1043745.0,1020830.0,975000.0,,,,,1032287.5,29583.137792780984,1020830.0,36231.79629137921,1020830.0,36231.79629137921,1020830.0,36231.79629137921,1066660.0,997915.0,1066660.0,975000.0,2.195459618968232,9.401025641025651,,,1.122,-0.0492824046791851,,13.880043766587734,1.108,1,3,0.5,957504.49,4,2016,3
Meat (beef),2016-07-18,1049994.667,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,165.32,147.02083333333334,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,0,3442.61,1066660.0,1043745.0,997915.0,,,,,1045307.41675,18969.169751715246,1025690.7778333332,34524.7363041363,1025690.7778333332,34524.7363041363,1025690.7778333332,34524.7363041363,1066660.0,1020830.0,1066660.0,975000.0,-1.5623847336545982,5.2188479980759706,,,1.913,-3.75784435262283,,13.864296595458525,1.108,1,3,0.5,942544.58,5,2016,3
Meat (beef),2016-07-25,1033329.333,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,165.32,147.02083333333334,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.464723172043768,-0.8854560256532101,0,3387.97,1049994.667,1066660.0,1020830.0,,,,,1048432.25,13961.380440531637,1026782.0,31648.58935420285,1026782.0,31648.58935420285,1026782.0,31648.58935420285,1066660.0,1033329.333,1066660.0,975000.0,-1.5871827280433126,1.2244284552765938,,,2.109,-0.02479799438871444,,13.848297477234663,1.108,1,3,0.5,927584.68,6,2016,3
Meat (beef),2016-08-01,1016664.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,165.32,147.02083333333334,17.6,19.4,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004,-0.5680647467311556,-0.8229838658936565,0,3333.32,1033329.333,1049994.667,1043745.0,,,,,1041662.0,21514.852905731423,1025517.25,29518.46016155646,1025517.25,29518.46016155646,1025517.25,29518.46016155646,1066660.0,1016664.0,1066660.0,975000.0,-1.612780404831493,-2.5945992555652997,,,1.574,-0.02559767678818048,,13.83203822056988,1.108,1,3,0.0,864510.2,7,2016,3
Meat (beef),2016-08-08,999998.667,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,165.32,147.02083333333334,17.6,19.4,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,0,3278.68,1016664.0,1033329.333,1066660.0,975000.0,,,,1024996.66675,21514.85277663201,1028642.0833749999,24261.86099904554,1022681.8518888889,28892.51453330349,1022681.8518888889,28892.51453330349,1049994.667,999998.667,1066660.0,975000.0,-1.6392173815537814,-6.249539028368922,,,0.226,-0.026436976722288286,,13.81551022496422,1.108,1,3,0.0,850339.0,8,2016,3
Meat (beef),2016-08-15,983333.333,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,305.0,170.29545454545453,145.92000000000002,17.6,19.4,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,0,3224.04,999998.667,1016664.0,1049994.667,997915.0,,,,1008331.33325,21514.852776632168,1026819.375,27262.261658633404,1018747.0,29947.536558550648,1018747.0,29947.536558550648,1033329.333,983333.333,1066660.0,975000.0,-1.6665356214919824,-6.3487307216961275,,,-1.022,-0.02731823993820104,,13.798704456257546,1.13,1,3,0.0,836167.8,9,2016,3
