commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Meat (goat),2016-01-11,7000000.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1,35175.88,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76142084987672,1.0,0,0,0.0,6283662.48,0,2016,1
Meat (goat),2016-01-18,6723863.636,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,33788.26,7000000.0,,,,,,,6861931.818,195257.89551659688,6861931.818,195257.89551659688,6861931.818,195257.89551659688,6861931.818,195257.89551659688,7000000.0,6723863.636,7000000.0,6723863.636,-3.944805200000001,,,,0.0,,,15.72117364183864,1.0,0,0,0.0,6035784.23,1,2016,1
Meat (goat),2016-01-25,6447727.273,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,32400.64,6723863.636,7000000.0,,,,,,6723863.636333334,276136.3635,6723863.636333334,276136.3635,6723863.636333334,276136.3635,6723863.636333334,276136.3635,7000000.0,6447727.273,7000000.0,6447727.273,-4.106810874651712,,,,0.0,-0.16200567465171112,,15.679238420996514,1.0,0,0,0.0,5787905.99,2,2016,1
Meat (goat),2016-02-01,6171590.909,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,31013.02,6447727.273,6723863.636,,,,,,6585795.4545,356490.512501692,6585795.4545,356490.512501692,6585795.4545,356490.512501692,6585795.4545,356490.512501692,7000000.0,6171590.909,7000000.0,6171590.909,-4.28269299100672,,,,0.0,-0.17588211635500794,,15.635467370544898,1.0,0,0,0.0,5540027.75,3,2016,1
Meat (goat),2016-02-08,5895454.545,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,146.8090909090909,122.67454545454548,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,29625.4,6171590.909,6447727.273,7000000.0,,,,,6309659.0907499995,356490.5126307913,6447727.2726,436609.92704432027,6447727.2726,436609.92704432027,6447727.2726,436609.92704432027,6723863.636,5895454.545,7000000.0,5895454.545,-4.474314128587364,-15.779220785714287,,,-2.141,-0.19162113758064425,,15.589692365473447,1.0,0,0,0.0,5292149.5,4,2016,1
Meat (goat),2016-02-15,5619318.182,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,28237.78,5895454.545,6171590.909,6723863.636,,,,,6033522.72725,356490.5126307907,6309659.090833333,516603.83236386965,6309659.090833333,516603.83236386965,6309659.090833333,516603.83236386965,6447727.273,5619318.182,7000000.0,5619318.182,-4.683885880083571,-16.427243528351653,,,-4.376,-0.209571751496207,,15.541721072538706,0.905,0,0,0.0,5044271.26,5,2016,1
Meat (goat),2016-02-22,5343181.818,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,26850.16,5619318.182,5895454.545,6447727.273,,,,,5757386.363499999,356490.5125016905,6171590.909,596522.7233902055,6171590.909,596522.7233902055,6171590.909,596522.7233902055,6171590.909,5343181.818,7000000.0,5343181.818,-4.91405460691886,-17.130771948517555,,,-6.711,-0.23016872683528877,,15.491332066712394,0.905,0,0,0.0,4796393.01,6,2016,1
Meat (goat),2016-02-29,5067045.455,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1,25462.54,5343181.818,5619318.182,6171590.909,,,,,5481250.0,356490.5122434907,6033522.72725,676393.190235982,6033522.72725,676393.190235982,6033522.72725,676393.190235982,5895454.545,5067045.455,7000000.0,5067045.455,-5.168013599495291,-17.89725648194288,,,-9.153,-0.25395899257643073,,15.438268652562853,0.905,0,0,0.0,4548514.77,7,2016,1
Meat (goat),2016-03-07,4790909.091,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,137.4375,102.07,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,24074.92,5067045.455,5343181.818,5895454.545,7000000.0,,,,5205113.6365,356490.5125016888,5757386.363625,676393.1902068217,5895454.545444445,756230.5764558424,5895454.545444445,756230.5764558424,5619318.182,4790909.091,7000000.0,4790909.091,-5.449652395115534,-18.735543554258715,,,-11.71,-0.28163879562024263,,15.382230949460826,0.905,0,0,0.0,4300636.53,8,2016,1
Meat (goat),2016-03-14,4514772.727,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,0,22687.3,4790909.091,5067045.455,5619318.182,6723863.636,,,,4928977.27275,356490.51263078756,5481250.0,676393.1903526253,5757386.3636,836044.3591061315,5757386.3636,836044.3591061315,5343181.818,4514772.727,7000000.0,4514772.727,-5.763757123230295,-19.656218409879678,,,-14.389,-0.31410472811476176,,15.322865627741281,0.924,0,0,0.0,4052758.28,9,2016,1
Meat (goat),2016-03-21,4238636.364,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,21299.68,4514772.727,4790909.091,5343181.818,6447727.273,,,,4652840.9092500005,356490.512630787,5205113.636375,676393.1902068232,5619318.181818182,915840.7090645039,5619318.181818182,915840.7090645039,5067045.455,4238636.364,7000000.0,4238636.364,-6.116284909506142,-20.67205443541207,,,-17.199,-0.35252778627584647,,15.259752399140579,0.924,0,0,0.0,3804880.04,10,2016,1
Meat (goat),2016-03-28,3962500.0,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,0,19912.06,4238636.364,4514772.727,5067045.455,6171590.909,,,,4376704.5455,356490.51250168675,4928977.27275,676393.1902359845,5481250.0,995623.8180354382,5481250.0,995623.8180354382,4790909.091,3962500.0,7000000.0,3962500.0,-6.514745316331172,-21.798609560726746,,,-20.151,-0.3984604068250306,-1.525,15.192385949533572,0.924,0,0,0.0,3557001.8,11,2016,1
Meat (goat),2016-04-04,3686363.636,NGN,NGN/MT,WFP Nigeria,retail,National,,,0.9,True,WFP VAM retail data,WFP,historical,False,,,199.0,135.085,114.64888888888888,11.4,12.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.1205366802553228,0,18524.44,3962500.0,4238636.364,4790909.091,5895454.545,7000000.0,,,4100568.18175,356490.5126307855,4652840.909125,676393.1904401095,5205113.636333333,995623.8180858658,5343181.818153847,1075396.6330386086,4514772.727,3686363.636,6723863.636,3686363.636,-6.968741047318616,-23.05502847204829,-47.33766234285714,,-23.256,-0.45399573098744384,-1.541,15.120151336898681,0.924,0,0,0.5,3309123.55,12,2016,2
