commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Sorghum,2002-01-14,148555.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM data — converted to NGN/MT,WFP,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,1228.03,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90871727051601,1.0,0,0,0.333,133352.78,0,2002,1
Sorghum,2002-01-21,152528.125,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,1260.88,148555.0,,,,,,,150541.5625,2809.4236300018015,150541.5625,2809.4236300018015,150541.5625,2809.4236300018015,150541.5625,2809.4236300018015,152528.125,148555.0,152528.125,148555.0,2.6745144895829798,,,,0.0,,,11.935110840401114,1.0,0,0,0.333,136919.32,1,2002,1
Sorghum,2002-01-28,153852.5,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,1,1271.82,152528.125,148555.0,,,,,,151645.20833333334,2756.9064080429566,151645.20833333334,2756.9064080429566,151645.20833333334,2756.9064080429566,151645.20833333334,2756.9064080429566,153852.5,148555.0,153852.5,148555.0,0.8682824888852414,,,,0.0,-1.8062320006977384,,11.943756129922688,1.0,0,0,0.333,138108.17,2,2002,1
Sorghum,2002-02-04,156501.25,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,1293.72,153852.5,152528.125,,,,,,152859.21875,3310.937499999997,152859.21875,3310.937499999997,152859.21875,3310.937499999997,152859.21875,3310.937499999997,156501.25,148555.0,156501.25,148555.0,1.7216164833200542,,,,0.0,0.8533339944348128,,11.960825665855802,1.0,0,0,0.333,140485.86,3,2002,1
Sorghum,2002-02-11,159150.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM data — converted to NGN/MT,WFP,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,1315.62,156501.25,153852.5,148555.0,,,,,155507.96875,2936.610564591919,154117.375,4017.0282664863066,154117.375,4017.0282664863066,154117.375,4017.0282664863066,159150.0,152528.125,159150.0,148555.0,1.692478494580718,7.132038638887961,,,0.902,-0.02913798873933615,,11.977608716070957,1.0,0,0,0.333,142863.55,4,2002,1
Sorghum,2002-02-18,162642.5,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,1344.49,159150.0,156501.25,152528.125,,,,,158036.5625,3755.7940481729847,155538.22916666666,5002.216733869512,155538.22916666666,5002.216733869512,155538.22916666666,5002.216733869512,162642.5,153852.5,162642.5,148555.0,2.194470625196354,6.631154090434133,,,1.606,0.5019921306156361,,11.999315967991977,1.0,0,0,0.333,145998.65,5,2002,1
Sorghum,2002-02-25,166135.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1,1373.36,162642.5,159150.0,153852.5,,,,,161107.1875,4190.5181132279595,157052.05357142858,6073.998724865907,157052.05357142858,6073.998724865907,157052.05357142858,6073.998724865907,166135.0,156501.25,166135.0,148555.0,2.1473477104692718,7.983295689052827,,,2.582,-0.04712291472708241,,12.020562009022814,1.0,0,0,0.333,149133.75,6,2002,1
Sorghum,2002-03-04,169627.5,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,0,1402.23,166135.0,162642.5,156501.25,,,,,164388.75,4508.798112209795,158623.984375,7168.730554350737,158623.984375,7168.730554350737,158623.984375,7168.730554350737,169627.5,159150.0,169627.5,148555.0,2.102206037258858,8.387313200373804,,,3.634,-0.045141673210413735,,12.041366030675219,1.0,0,0,0.333,152268.85,7,2002,1
Sorghum,2002-03-11,173120.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.9,True,WFP VAM data — converted to NGN/MT,WFP,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,0,1431.1,169627.5,166135.0,159150.0,148555.0,,,,167881.25,4508.798112209795,161694.609375,7493.378065784143,160234.65277777778,8265.297022741055,160234.65277777778,8265.297022741055,173120.0,162642.5,173120.0,148555.0,2.058923228839671,8.777882500785417,,,4.772,-0.04328280841918719,,12.061746050963682,1.0,0,0,0.333,155403.95,8,2002,1
Sorghum,2002-03-18,175533.0,NGN,NGN/MT,Gap-filled,wholesale,National,,,0.6,False,Weekly gap-fill,Interpolated,historical,False,,,120.97,155.0,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,1451.05,173120.0,169627.5,162642.5,152528.125,,,,171103.875,4104.928346410765,164570.21875,7877.4414712400785,161764.4875,9172.159348034105,161764.4875,9172.159348034105,175533.0,166135.0,175533.0,148555.0,1.3938308687615475,7.925665185913888,,,5.773,-0.6650923600781233,,12.075588035318132,1.0,0,0,0.333,157570.02,9,2002,1
