commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,wheat_harvest,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
Soybeans,2000-01-03,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21778.47,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,,,,,,,,,,,,,,,,,,,,,,,,,,,10.926181076709051,1.0,0,0,,49921.45,0,2000,1
Soybeans,2000-01-10,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21369.69,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,,,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,,,,0.0,,,10.926181076709051,1.0,0,0,,49921.45,1,2000,1
Soybeans,2000-01-17,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21875.66,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,2,2000,1
Soybeans,2000-01-24,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),22439.17,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,3,2000,1
Soybeans,2000-01-31,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21307.96,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,4,2000,1
Soybeans,2000-02-07,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21307.97,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,5,2000,1
Soybeans,2000-02-14,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),22475.34,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,6,2000,1
Soybeans,2000-02-21,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21952.74,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,7,2000,1
Soybeans,2000-02-28,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21156.47,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,55612.49,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,8,2000,1
Soybeans,2000-03-06,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21807.98,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,55612.49,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,9,2000,1
Soybeans,2000-03-13,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21160.37,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,55612.49,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,10,2000,1
Soybeans,2000-03-20,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21158.88,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,55612.49,,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,11,2000,1
Soybeans,2000-03-27,55612.49,NGN,NGN/MT,Historical (World Bank/FAOSTAT/NEPC),wholesale,National,,,0.7,False,"Synthetic historical — verified annual anchors, weekly interpolated",Synthetic (World Bank/FAO × FX),historical,True,Hard bound violation (synthetic),21614.47,120.97,160.55555555555554,97.0,11.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,459.72,55612.49,55612.49,55612.49,55612.49,55612.49,,,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,0.0,55612.49,55612.49,55612.49,55612.49,0.0,0.0,0.0,,0.0,0.0,,10.926181076709051,1.0,0,0,,49921.45,12,2000,1
