date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2016-01-18,Beans (red),1647036.36,NGN,NGN/MT,WFP Nigeria Food Prices,retail,National,,,0.96,True,WFP VAM data — converted from NGN/2.5KG to NGN/MT (×400),Agricome,historical,False,,1680000.0,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,8276.56,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31448869256978,1.0,0,0,0.0,1478488.65,0,2016,1
2016-01-25,Beans (red),1614072.73,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1614072.73,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,8110.92,1647036.36,,,,,,,1630554.545,23308.80630552432,1630554.545,23308.80630552432,1630554.545,23308.80630552432,1630554.545,23308.80630552432,1647036.36,1614072.73,1647036.36,1614072.73,-2.0013905461079284,,,,0.0,,,14.294271808305217,1.0,0,0,0.0,1448898.32,1,2016,1
2016-02-01,Beans (red),1548145.45,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1548145.45,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,7779.63,1614072.73,1647036.36,,,,,,1603084.8466666667,50352.78746273373,1603084.8466666667,50352.78746273373,1603084.8466666667,50352.78746273373,1603084.8466666667,50352.78746273373,1647036.36,1548145.45,1647036.36,1548145.45,-4.08452969774169,,,,0.0,-2.0831391516337616,,14.252568934600102,1.0,0,0,0.0,1389717.64,2,2016,1
2016-02-08,Beans (red),1482218.18,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1482218.18,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,7448.33,1548145.45,1614072.73,,,,,,1572868.18,73092.11025335955,1572868.18,73092.11025335955,1572868.18,73092.11025335955,1572868.18,73092.11025335955,1647036.36,1482218.18,1647036.36,1482218.18,-4.258467445678315,,,,0.0,-0.1739377479366251,,14.209050968639662,1.0,0,0,0.0,1330536.97,3,2016,1
2016-02-15,Beans (red),1416290.91,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1416290.91,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,7117.04,1482218.18,1548145.45,1647036.36,,,,,1515181.8175,85111.74346328994,1541552.726,94393.48882257471,1541552.726,94393.48882257471,1541552.726,94393.48882257471,1614072.73,1416290.91,1647036.36,1416290.91,-4.447878921576853,-14.009736251359994,,,-1.711,-0.18941147589853813,,14.163552683119521,1.0,0,0,0.0,1271356.29,4,2016,1
2016-02-22,Beans (red),1416290.91,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1416290.91,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,7117.04,1416290.91,1482218.18,1614072.73,,,,,1465736.3625,63120.55543837103,1520675.7566666666,98707.60698622814,1520675.7566666666,98707.60698622814,1520675.7566666666,98707.60698622814,1548145.45,1416290.91,1647036.36,1416290.91,0.0,-12.253587854123527,,,-3.613,4.447878921576853,,14.163552683119521,1.0,0,0,0.0,1271356.29,5,2016,1
2016-02-29,Beans (red),1416290.91,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1416290.91,199.0,137.4375,102.07,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,7117.04,1416290.91,1416290.91,1548145.45,,,,,1432772.7275,32963.63499999954,1505763.6357142855,98366.28414525716,1505763.6357142855,98366.28414525716,1505763.6357142855,98366.28414525716,1482218.18,1416290.91,1647036.36,1416290.91,0.0,-8.51693489135662,,,-4.847,0.0,,14.163552683119521,1.0,0,0,0.0,1271356.29,6,2016,1
2016-03-07,Beans (red),1416290.91,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1416290.91,199.0,137.4375,102.07,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,7117.04,1416290.91,1416290.91,1482218.18,,,,,1416290.91,0.0,1494579.545,96407.06309718601,1494579.545,96407.06309718601,1494579.545,96407.06309718601,1416290.91,1416290.91,1647036.36,1416290.91,0.0,-4.447878921576853,,,-5.238,0.0,,14.163552683119521,1.0,0,0,0.0,1271356.29,7,2016,1
2016-03-14,Beans (red),1416290.91,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1416290.91,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,7117.04,1416290.91,1416290.91,1416290.91,1647036.36,,,,1416290.91,0.0,1465736.36375,76802.94804463636,1485880.8077777778,93880.47641282064,1485880.8077777778,93880.47641282064,1416290.91,1416290.91,1647036.36,1416290.91,0.0,0.0,,,-4.683,0.0,,14.163552683119521,1.025,0,0,0.0,1271356.29,8,2016,1
2016-03-21,Beans (red),1416290.91,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1416290.91,199.0,135.085,114.64888888888888,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,7117.04,1416290.91,1416290.91,1416290.91,1614072.73,,,,1416290.91,0.0,1441013.63625,49051.45855178883,1478921.818,91206.01180077916,1478921.818,91206.01180077916,1416290.91,1416290.91,1647036.36,1416290.91,0.0,0.0,,,-4.235,0.0,,14.163552683119521,1.025,0,0,0.0,1271356.29,9,2016,1
