date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2002-01-14,Beans (white),197460.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,196870.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1632.31,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19329637546944,1.0,0,0,0.0,177253.14,0,2002,1
2002-01-21,Beans (white),198050.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,198050.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1637.18,197460.0,,,,,,,197755.0,417.19300090006305,197755.0,417.19300090006305,197755.0,417.19300090006305,197755.0,417.19300090006305,198050.0,197460.0,198050.0,197460.0,0.2987946925959717,,,,0.0,,,12.196279852267308,1.0,0,0,0.0,177782.76,1,2002,1
2002-01-28,Beans (white),199230.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,199230.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,1646.94,198050.0,197460.0,,,,,,198246.66666666666,901.2398866746526,198246.66666666666,901.2398866746526,198246.66666666666,901.2398866746526,198246.66666666666,901.2398866746526,199230.0,197460.0,199230.0,197460.0,0.5958091391062847,,,,0.0,0.29701444651031306,,12.202220234514671,1.0,0,0,0.0,178842.01,2,2002,1
2002-02-04,Beans (white),200410.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,200410.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1656.69,199230.0,198050.0,,,,,,198787.5,1308.2399117389273,198787.5,1308.2399117389273,198787.5,1308.2399117389273,198787.5,1308.2399117389273,200410.0,197460.0,200410.0,197460.0,0.5922802790744308,,,,0.0,-0.003528860031853931,,12.208125536905994,1.0,0,0,0.0,179901.26,3,2002,1
2002-02-11,Beans (white),201590.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,201590.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1666.45,200410.0,199230.0,197460.0,,,,,199820.0,1523.373449508254,199348.0,1689.5028854666118,199348.0,1689.5028854666118,199348.0,1689.5028854666118,201590.0,198050.0,201590.0,197460.0,0.5887929744024856,2.0915628481717796,,,0.237,-0.003487304671945246,,12.213996171325686,1.0,0,0,0.0,180960.5,4,2002,1
2002-02-18,Beans (white),209525.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,209525.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1732.04,201590.0,200410.0,198050.0,,,,,202688.75,4658.226370268697,201044.16666666666,4421.020715475861,201044.16666666666,4421.020715475861,201044.16666666666,4421.020715475861,209525.0,199230.0,209525.0,197460.0,3.936207153132587,5.793991416309008,,,0.818,3.3474141787301015,,12.252603115655873,1.0,0,0,0.0,188083.48,5,2002,1
2002-02-25,Beans (white),217460.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,217460.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1797.64,209525.0,201590.0,199230.0,,,,,207246.25,7921.297636751195,203389.2857142857,7401.684734218417,203389.2857142857,7401.684734218417,203389.2857142857,7401.684734218417,217460.0,200410.0,217460.0,197460.0,3.787137573081978,9.150228379260161,,,1.896,-0.14906958005060922,,12.289774803088026,1.0,0,0,0.0,195206.46,6,2002,1
2002-03-04,Beans (white),225395.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,225395.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,1863.23,217460.0,209525.0,200410.0,,,,,213492.5,10244.040950718621,206140.0,10367.736011299674,206140.0,10367.736011299674,206140.0,10367.736011299674,225395.0,201590.0,225395.0,197460.0,3.648946932769248,12.466942767326984,,,3.567,-0.13819064031272976,,12.32561413420142,1.0,0,0,0.0,202329.44,7,2002,1
2002-03-11,Beans (white),233330.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,233330.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,1928.83,225395.0,217460.0,201590.0,197460.0,,,,221427.5,10244.040950718621,210623.75,13392.701837194765,209161.11111111112,13273.948823206721,209161.11111111112,13273.948823206721,233330.0,209525.0,233330.0,197460.0,3.5204862574591322,15.744828612530393,,,5.865,-0.12846067531011585,,12.360213325307432,1.0,0,0,0.0,209452.42,8,2002,1
2002-03-18,Beans (white),269768.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,269768.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,2230.04,233330.0,225395.0,209525.0,198050.0,,,,236488.25,23113.13332826166,219588.5,23762.39651213657,215221.8,22889.7289474753,215221.8,22889.7289474753,269768.0,217460.0,269768.0,197460.0,15.61650880726868,28.752177544445768,,,9.881,12.096022549809547,,12.50532131622842,1.0,0,0,0.0,242161.58,9,2002,1
