date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2025-01-06,Cashew Nuts,2100000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,2100000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1337.58,,,,,,,,,,,,,,,,,,,,,,,,,,,14.557448378884015,1.0,0,0,0.333,1574212.89,0,2025,1
2025-01-13,Cashew Nuts,2100000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,2100000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1337.58,2100000.0,,,,,,,2100000.0,0.0,2100000.0,0.0,2100000.0,0.0,2100000.0,0.0,2100000.0,2100000.0,2100000.0,2100000.0,0.0,,,,0.0,,,14.557448378884015,1.0,0,0,0.333,1574212.89,1,2025,1
2025-01-20,Cashew Nuts,2000000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,2000000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1273.89,2100000.0,2100000.0,,,,,,2066666.6666666667,57735.02691896261,2066666.6666666667,57735.02691896261,2066666.6666666667,57735.02691896261,2066666.6666666667,57735.02691896261,2100000.0,2000000.0,2100000.0,2000000.0,-4.761904761904767,,,,0.0,-4.761904761904767,,14.508658238524095,1.0,0,0,0.333,1499250.37,2,2025,1
2025-01-27,Cashew Nuts,1650000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1650000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,1050.96,2000000.0,2100000.0,,,,,,1962500.0,213600.0936329383,1962500.0,213600.0936329383,1962500.0,213600.0936329383,1962500.0,213600.0936329383,2100000.0,1650000.0,2100000.0,1650000.0,-17.500000000000004,,,,0.0,-12.738095238095237,,14.316286451937186,1.0,0,0,0.333,1236881.56,3,2025,1
2025-02-03,Cashew Nuts,1350000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1320000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,851.74,1650000.0,2000000.0,2100000.0,,,,,1775000.0,342782.73002005223,1840000.0,330529.8776207682,1840000.0,330529.8776207682,1840000.0,330529.8776207682,2100000.0,1350000.0,2100000.0,1350000.0,-18.181818181818176,-35.71428571428571,,,-3.533,-0.6818181818181728,,14.115615891155079,1.0,0,0,0.667,1011994.0,4,2025,1
2025-02-10,Cashew Nuts,1350000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1350000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,851.74,1350000.0,1650000.0,2100000.0,,,,,1587500.0,309232.9219213246,1758333.3333333333,356954.71234691195,1758333.3333333333,356954.71234691195,1758333.3333333333,356954.71234691195,2000000.0,1350000.0,2100000.0,1350000.0,0.0,-35.71428571428571,,,-9.716,18.181818181818176,,14.115615891155079,1.0,0,0,0.667,1011994.0,5,2025,1
2025-02-17,Cashew Nuts,1850000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1850000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1167.19,1350000.0,1350000.0,2000000.0,,,,,1550000.0,244948.97427831788,1771428.5714285714,327690.33000830584,1771428.5714285714,327690.33000830584,1771428.5714285714,327690.33000830584,1850000.0,1350000.0,2100000.0,1350000.0,37.037037037037045,-7.499999999999996,,,-12.5,37.037037037037045,,14.430696737594902,1.0,0,0,0.667,1386806.6,6,2025,1
2025-02-24,Cashew Nuts,1900000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1900000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1198.74,1850000.0,1350000.0,1650000.0,,,,,1612500.0,303795.43555930315,1787500.0,306768.87530703447,1787500.0,306768.87530703447,1787500.0,306768.87530703447,1900000.0,1350000.0,2100000.0,1350000.0,2.7027027027026973,15.15151515151516,,,-9.79,-34.33433433433435,,14.45736497045232,1.0,0,0,0.667,1424287.86,7,2025,1
2025-03-03,Cashew Nuts,1926666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1926666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,1223.28,1900000.0,1850000.0,1350000.0,2100000.0,,,,1756666.6675,272967.23519296036,1765833.33375,287030.50027772755,1802962.9633333334,290681.4048325625,1802962.9633333334,290681.4048325625,1926666.67,1350000.0,2100000.0,1350000.0,1.403508947368426,42.71604962962962,,,-2.568,-1.2991937553342714,,14.471302472741561,1.0,0,0,0.667,1444277.86,8,2025,1
2025-03-10,Cashew Nuts,1953333.33,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1953333.33,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,1240.21,1926666.67,1900000.0,1350000.0,2100000.0,,,,1907500.0,44085.35424899411,1747500.0,266593.73998056556,1818000.0,278151.74822742946,1818000.0,278151.74822742946,1953333.33,1850000.0,2100000.0,1350000.0,1.3840826965673347,44.691357777777775,,,4.923,-0.01942625080109117,,14.485048383123864,1.0,0,0,0.667,1464267.86,9,2025,1
2025-03-17,Cashew Nuts,1980000.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1980000.0,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1257.14,1953333.33,1926666.67,1850000.0,2000000.0,,,,1940000.0,34426.517772292435,1745000.0,263968.49254024285,1832727.2727272727,268360.5293622666,1832727.2727272727,268360.5293622666,1980000.0,1900000.0,2100000.0,1350000.0,1.3651878862887212,7.027027027027022,,,5.853,-0.018894810278613505,,14.498607907721096,1.0,0,0,0.667,1484257.87,10,2025,1
2025-03-24,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1274.07,1980000.0,1953333.33,1900000.0,1650000.0,,,,1966666.6675,34426.519063286934,1789583.33375,275499.1865117768,1847222.2225000001,260751.95602728252,1847222.2225000001,260751.95602728252,2006666.67,1926666.67,2100000.0,1350000.0,1.346801515151519,5.6140352631578905,,,6.466,-0.018386371137202318,0.611,14.51198602861677,1.0,0,0,0.667,1504247.88,11,2025,1
2025-03-31,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,-0.1205366802553228,1274.07,2006666.67,1980000.0,1926666.67,1350000.0,2100000.0,,,1986666.6675,25531.39273159331,1871666.6675,217547.65997070656,1839444.445,253826.60678990712,1859487.18,253537.36752185965,2006666.67,1953333.33,2100000.0,1350000.0,0.0,4.152249127764285,-4.4444442857142885,,6.839,-1.346801515151519,0.581,14.51198602861677,1.0,0,0,0.667,1504247.88,12,2025,1
2025-04-07,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.970941817426052,-0.2393156642875575,1262.05,2006666.67,2006666.67,1953333.33,1350000.0,2100000.0,,,2000000.0025,13333.335000001212,1953750.00125,57911.74291163667,1831666.6674999997,246439.28975377168,1870000.0007142855,246746.34927459795,2006666.67,1980000.0,2006666.67,1350000.0,0.0,2.7303757725774203,-4.4444442857142885,,6.952,0.0,0.554,14.51198602861677,1.0,0,0,0.333,1504247.88,13,2025,2
2025-04-14,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.3546048870425354,1262.05,2006666.67,2006666.67,1980000.0,1850000.0,2000000.0,,,2006666.67,0.0,1973333.335,42163.70334025569,1832222.2233333334,246860.4215883975,1879111.112,240374.92808188288,2006666.67,2006666.67,2006666.67,1350000.0,0.0,1.346801515151519,0.3333334999999993,,6.788,0.0,0.531,14.51198602861677,1.0,0,0,0.333,1504247.88,14,2025,2
2025-04-21,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,1262.05,2006666.67,2006666.67,2006666.67,1900000.0,1650000.0,,,2006666.67,0.0,1986666.66875,31065.727657993863,1861944.4458333335,244385.26688724267,1887083.334375,234403.49880897446,2006666.67,2006666.67,2006666.67,1350000.0,0.0,0.0,21.616161818181823,,6.337,0.0,0.51,14.51198602861677,1.0,0,0,0.333,1504247.88,15,2025,2
2025-04-28,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,1262.05,2006666.67,2006666.67,2006666.67,1926666.67,1350000.0,,,2006666.67,0.0,1996666.66875,19840.637390555323,1916666.6683333332,185836.9011968954,1894117.648235294,228805.86629994426,2006666.67,2006666.67,2006666.67,1350000.0,0.0,0.0,48.64197555555556,,5.942,0.0,0.492,14.51198602861677,1.0,0,0,0.333,1504247.88,16,2025,2
2025-05-05,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1600.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.7485107481711013,-0.663122658240795,1254.17,2006666.67,2006666.67,2006666.67,1953333.33,1350000.0,,,2006666.67,0.0,2003333.33625,9428.091594332262,1971388.8908333331,53038.168063658166,1900370.3716666666,223553.8539732407,2006666.67,2006666.67,2006666.67,1850000.0,0.0,0.0,48.64197555555556,,5.593,0.0,0.475,14.51198602861677,1.0,0,0,0.333,1504247.88,17,2025,2
2025-05-12,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1600.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,1254.17,2006666.67,2006666.67,2006666.67,1980000.0,1850000.0,,,2006666.67,0.0,2006666.67,0.0,1984444.4466666665,37425.57270444801,1905964.9136842105,218619.629033695,2006666.67,2006666.67,2006666.67,1900000.0,0.0,0.0,8.468468648648653,,5.284,0.0,0.461,14.51198602861677,1.0,0,0,0.333,1504247.88,18,2025,2
2025-05-19,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1600.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,1254.17,2006666.67,2006666.67,2006666.67,2006666.67,1900000.0,,,2006666.67,0.0,2006666.67,0.0,1993333.3358333334,26666.667727273343,1911000.0015,213976.82623147202,2006666.67,2006666.67,2006666.67,1926666.67,0.0,0.0,5.6140352631578905,,5.006,0.0,0.447,14.51198602861677,1.0,0,0,0.333,1504247.88,19,2025,2
2025-05-26,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1600.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.464723172043769,-0.8854560256532096,1254.17,2006666.67,2006666.67,2006666.67,2006666.67,1926666.67,,,2006666.67,0.0,2006666.67,0.0,2000000.0024999997,16575.510352154415,1915555.5571428572,209601.03264871432,2006666.67,2006666.67,2006666.67,1953333.33,0.0,0.0,4.152249127764285,,4.756,0.0,0.435,14.51198602861677,1.0,0,0,0.333,1504247.88,20,2025,2
2025-06-02,Cashew Nuts,2006666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,2006666.67,1610.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.3546048870425358,-0.9350162426854148,1246.38,2006666.67,2006666.67,2006666.67,2006666.67,1953333.33,,,2006666.67,0.0,2006666.67,0.0,2004444.4474999998,7698.004551447501,1919696.9713636362,205469.93335554306,2006666.67,2006666.67,2006666.67,1980000.0,0.0,0.0,2.7303757725774203,,4.53,0.0,0.423,14.51198602861677,1.0,0,0,0.333,1504247.88,21,2025,2
