date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2025-01-06,Ginger,13450000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,13200000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,8566.88,,,,,,,,,,,,,,,,,,,,,,,,,,,16.414489738361564,1.0,0,0,0.333,10082458.77,0,2025,1
2025-01-13,Ginger,13700000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,13700000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,8726.11,13450000.0,,,,,,,13575000.0,176776.69529663687,13575000.0,176776.69529663687,13575000.0,176776.69529663687,13575000.0,176776.69529663687,13700000.0,13450000.0,13700000.0,13450000.0,1.8587360594795488,,,,0.0,,,16.432906463791053,1.0,0,0,0.333,10269865.07,1,2025,1
2025-01-20,Ginger,13700000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,13700000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,8726.11,13700000.0,13450000.0,,,,,,13616666.666666666,144337.56729740658,13616666.666666666,144337.56729740658,13616666.666666666,144337.56729740658,13616666.666666666,144337.56729740658,13700000.0,13450000.0,13700000.0,13450000.0,0.0,,,,0.0,-1.8587360594795488,,16.432906463791053,1.0,0,0,0.333,10269865.07,2,2025,1
2025-01-27,Ginger,13700000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,13700000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,8726.11,13700000.0,13700000.0,,,,,,13637500.0,125000.00000000016,13637500.0,125000.00000000016,13637500.0,125000.00000000016,13637500.0,125000.00000000016,13700000.0,13450000.0,13700000.0,13450000.0,0.0,,,,0.0,0.0,,16.432906463791053,1.0,0,0,0.333,10269865.07,3,2025,1
2025-02-03,Ginger,14000000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,14000000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,8832.81,13700000.0,13700000.0,13450000.0,,,,,13775000.0,150000.0,13710000.0,194935.88689617935,13710000.0,194935.88689617935,13710000.0,194935.88689617935,14000000.0,13700000.0,14000000.0,13450000.0,2.1897810218978186,4.089219330855021,,,0.474,2.1897810218978186,,16.454567959008102,1.0,0,0,0.333,10494752.62,4,2025,1
2025-02-10,Ginger,14300000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,14300000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,9022.08,14000000.0,13700000.0,13700000.0,,,,,13925000.0,287228.1323269014,13808333.333333334,297349.40165849775,13808333.333333334,297349.40165849775,13808333.333333334,297349.40165849775,14300000.0,13700000.0,14300000.0,13450000.0,2.1428571428571352,4.379562043795615,,,0.845,-0.0469238790406834,,16.475770165160203,1.0,0,0,0.333,10719640.18,5,2025,1
2025-02-17,Ginger,14300000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,14300000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,9022.08,14300000.0,14000000.0,13700000.0,,,,,14075000.0,287228.1323269014,13878571.42857143,328959.3982762699,13878571.42857143,328959.3982762699,13878571.42857143,328959.3982762699,14300000.0,13700000.0,14300000.0,13450000.0,0.0,4.379562043795615,,,1.415,-2.1428571428571352,,16.475770165160203,1.0,0,0,0.333,10719640.18,6,2025,1
2025-02-24,Ginger,14300000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,14300000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,9022.08,14300000.0,14300000.0,13700000.0,,,,,14225000.0,150000.0,13931250.0,339050.6704651342,13931250.0,339050.6704651342,13931250.0,339050.6704651342,14300000.0,14000000.0,14300000.0,13450000.0,0.0,4.379562043795615,,,2.109,0.0,,16.475770165160203,1.0,0,0,0.333,10719640.18,7,2025,1
2025-03-03,Ginger,14293333.33,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,14293333.33,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,9075.13,14300000.0,14300000.0,14000000.0,13450000.0,,,,14298333.3325,3333.334999999807,14036666.66625,296476.6642654496,13971481.481111111,339342.1373062047,13971481.481111111,339342.1373062047,14300000.0,14293333.33,14300000.0,13450000.0,-0.04662006993007006,2.0952380714285734,,,2.339,-0.04662006993007006,,16.475303855788187,1.0,0,0,0.0,10714642.68,8,2025,1
2025-03-10,Ginger,14286666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,14286666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,9070.9,14293333.33,14300000.0,14300000.0,13700000.0,,,,14295000.0,6382.846224524616,14110000.0,272926.5265278177,14003000.0,335100.685064749,14003000.0,335100.685064749,14300000.0,14286666.67,14300000.0,13450000.0,-0.046641744413866704,-0.09324006993006728,,,2.085,-2.1674483796640942e-05,,16.474837329570246,1.0,0,0,0.0,10709645.18,9,2025,1
