date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2025-01-06,Hibiscus,1600000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1600000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,1019.11,,,,,,,,,,,,,,,,,,,,,,,,,,,14.285514812209815,1.0,0,0,0.0,1199400.3,0,2025,1
2025-01-13,Hibiscus,1600000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1600000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1019.11,1600000.0,,,,,,,1600000.0,0.0,1600000.0,0.0,1600000.0,0.0,1600000.0,0.0,1600000.0,1600000.0,1600000.0,1600000.0,0.0,,,,0.0,,,14.285514812209815,1.0,0,0,0.0,1199400.3,1,2025,1
2025-01-20,Hibiscus,1560000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1560000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,993.63,1600000.0,1600000.0,,,,,,1586666.6666666667,23094.010767585063,1586666.6666666667,23094.010767585063,1586666.6666666667,23094.010767585063,1586666.6666666667,23094.010767585063,1600000.0,1560000.0,1600000.0,1560000.0,-2.500000000000002,,,,0.0,-2.500000000000002,,14.260197020251155,1.0,0,0,0.0,1169415.29,2,2025,1
2025-01-27,Hibiscus,1560000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1560000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,993.63,1560000.0,1600000.0,,,,,,1580000.0,23094.010767585063,1580000.0,23094.010767585063,1580000.0,23094.010767585063,1580000.0,23094.010767585063,1600000.0,1560000.0,1600000.0,1560000.0,0.0,,,,0.0,2.500000000000002,,14.260197020251155,1.0,0,0,0.0,1169415.29,3,2025,1
2025-02-03,Hibiscus,1520000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1520000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,958.99,1560000.0,1560000.0,1600000.0,,,,,1560000.0,32659.86323710904,1568000.0,33466.40106136304,1568000.0,33466.40106136304,1568000.0,33466.40106136304,1600000.0,1520000.0,1600000.0,1520000.0,-2.564102564102566,-5.000000000000004,,,-0.51,-2.564102564102566,,14.23422155071698,1.0,0,0,0.0,1139430.28,4,2025,1
2025-02-10,Hibiscus,1520000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1515000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,958.99,1520000.0,1560000.0,1600000.0,,,,,1540000.0,23094.010767585067,1560000.0,35777.08763999665,1560000.0,35777.08763999665,1560000.0,35777.08763999665,1560000.0,1520000.0,1600000.0,1520000.0,0.0,-5.000000000000004,,,-1.282,2.564102564102566,,14.23422155071698,1.0,0,0,0.0,1139430.28,5,2025,1
2025-02-17,Hibiscus,1520000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1520000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,958.99,1520000.0,1520000.0,1560000.0,,,,,1530000.0,20000.00000000002,1554285.7142857143,35989.41643369751,1554285.7142857143,35989.41643369751,1554285.7142857143,35989.41643369751,1560000.0,1520000.0,1600000.0,1520000.0,0.0,-2.564102564102566,,,-1.563,0.0,,14.23422155071698,1.0,0,0,0.0,1139430.28,6,2025,1
2025-02-24,Hibiscus,1540000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1540000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,971.61,1520000.0,1520000.0,1560000.0,,,,,1525000.0,10000.0,1552500.0,33700.36032024415,1552500.0,33700.36032024415,1552500.0,33700.36032024415,1540000.0,1520000.0,1600000.0,1520000.0,1.3157894736842035,-1.2820512820512775,,,-1.771,1.3157894736842035,,14.24729362374025,1.0,0,0,0.0,1154422.79,7,2025,1
2025-03-03,Hibiscus,1550666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1550666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,984.55,1540000.0,1520000.0,1520000.0,1600000.0,,,,1532666.6675,15260.698833568867,1546333.33375,27756.309238435944,1552296.2966666666,31529.72336434465,1552296.2966666666,31529.72336434465,1550666.67,1520000.0,1600000.0,1520000.0,0.6926409090909136,2.017544078947364,,,-1.265,-0.6231485645932899,,14.254196150985907,1.0,0,0,0.0,1162418.79,8,2025,1
2025-03-10,Hibiscus,1561333.33,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1561333.33,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,991.32,1550666.67,1540000.0,1520000.0,1600000.0,,,,1543000.0,17634.141296339534,1541500.0,19089.596335542883,1553200.0,29863.55790699094,1553200.0,29863.55790699094,1561333.33,1520000.0,1600000.0,1520000.0,0.6878757508859135,2.719298026315786,,,-0.657,-0.0047651582050001196,,14.261051353374729,1.0,0,0,0.0,1170414.79,9,2025,1
2025-03-17,Hibiscus,1572000.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1572000.0,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,998.1,1561333.33,1550666.67,1520000.0,1560000.0,,,,1556000.0,13770.606592519192,1543000.0,21114.953461529192,1554909.0909090908,28892.5559767337,1554909.0909090908,28892.5559767337,1572000.0,1540000.0,1600000.0,1520000.0,0.6831769869410254,3.421052631578947,,,0.07,-0.004698763944888107,,14.267859888103402,1.0,0,0,0.0,1178410.79,10,2025,1
2025-03-24,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1004.87,1572000.0,1561333.33,1540000.0,1560000.0,,,,1566666.6675,13770.607883513763,1545833.33375,24902.98687064203,1557222.2225000001,28689.678493386364,1557222.2225000001,28689.678493386364,1582666.67,1550666.67,1600000.0,1520000.0,0.6785413486005032,2.770562987012992,,,0.606,-0.0046356383405221635,0.887,14.274622379994522,1.0,0,0,0.0,1186406.8,11,2025,1
2025-03-31,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,-0.1205366802553228,1004.87,1582666.67,1572000.0,1550666.67,1520000.0,1600000.0,,,1574666.6675,10212.559007491227,1553666.6675,25465.819868743787,1555777.7783333333,26708.04918835921,1559179.4876923077,28360.31932963091,1582666.67,1561333.33,1600000.0,1520000.0,0.0,2.0636285424255663,-1.0833331250000078,,0.993,-0.6785413486005032,0.828,14.274622379994522,1.0,0,0,0.0,1186406.8,12,2025,1
2025-04-07,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.970941817426052,-0.2393156642875575,995.39,1582666.67,1582666.67,1561333.33,1520000.0,1600000.0,,,1580000.0025,5333.334999999964,1561500.00125,23164.69781630313,1554333.3341666665,24474.27106249352,1560857.1435714285,27961.425176916542,1582666.67,1572000.0,1582666.67,1520000.0,0.0,1.3663539738820507,-1.0833331250000078,,1.226,0.0,0.78,14.274622379994522,1.0,0,0,0.333,1186406.8,13,2025,2
2025-04-14,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.3546048870425354,995.39,1582666.67,1582666.67,1572000.0,1520000.0,1560000.0,,,1582666.67,0.0,1569333.335,16865.482058908638,1556222.2233333334,25790.663171026645,1562311.112,27526.45734196368,1582666.67,1582666.67,1582666.67,1520000.0,0.0,0.6785413486005032,1.4529916666666587,,1.303,0.0,0.739,14.274622379994522,1.0,0,0,0.333,1186406.8,14,2025,2
2025-04-21,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,995.39,1582666.67,1582666.67,1582666.67,1540000.0,1560000.0,,,1582666.67,0.0,1574666.66875,12426.291737650887,1558111.1125,26898.738920035245,1563583.334375,27075.614980191312,1582666.67,1582666.67,1582666.67,1520000.0,0.0,0.0,1.4529916666666587,,1.22,0.0,0.705,14.274622379994522,1.0,0,0,0.333,1186406.8,15,2025,2
2025-04-28,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1590.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,995.39,1582666.67,1582666.67,1582666.67,1550666.67,1520000.0,,,1582666.67,0.0,1578666.66875,7936.25644426957,1563333.335,24830.741438870562,1564705.8835294116,26621.285673592804,1582666.67,1582666.67,1582666.67,1520000.0,0.0,0.0,4.122807236842108,,1.148,0.0,0.675,14.274622379994522,1.0,0,0,0.333,1186406.8,16,2025,2
2025-05-05,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1600.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.7485107481711013,-0.663122658240795,989.17,1582666.67,1582666.67,1582666.67,1561333.33,1520000.0,,,1582666.67,0.0,1581333.33625,3771.237344839376,1568555.5574999999,21215.26798058934,1565703.7049999998,26171.104190009504,1582666.67,1582666.67,1582666.67,1520000.0,0.0,0.0,4.122807236842108,,1.083,0.0,0.648,14.274622379994522,1.0,0,0,0.333,1186406.8,17,2025,2
2025-05-12,Hibiscus,1582666.67,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,1582666.67,1600.0,1380.0,924.2857142857144,33.4,39.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,989.17,1582666.67,1582666.67,1582666.67,1572000.0,1520000.0,,,1582666.67,0.0,1582666.67,0.0,1573777.78,14970.22981589613,1566596.4926315788,25729.740318202013,1582666.67,1582666.67,1582666.67,1540000.0,0.0,0.0,4.122807236842108,,1.026,0.0,0.625,14.274622379994522,1.0,0,0,0.333,1186406.8,18,2025,2
