date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2002-01-14,Maize (white),155401.25,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,153350.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1284.63,,,,,,,,,,,,,,,,,,,,,,,,,,,11.953772195575347,1.0,0,0,0.0,139498.43,0,2002,1
2002-01-21,Maize (white),157452.5,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,157452.5,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1301.58,155401.25,,,,,,,156426.875,1450.4527849089056,156426.875,1450.4527849089056,156426.875,1450.4527849089056,156426.875,1450.4527849089056,157452.5,155401.25,157452.5,155401.25,1.3199700774607637,,,,0.0,,,11.96688545556124,1.0,0,0,0.0,141339.77,1,2002,1
2002-01-28,Maize (white),161555.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,161555.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,1335.5,157452.5,155401.25,,,,,,158136.25,3133.3361314260555,158136.25,3133.3361314260555,158136.25,3133.3361314260555,158136.25,3133.3361314260555,161555.0,155401.25,161555.0,155401.25,2.6055477048633646,,,,0.0,1.285577627402601,,11.992607110767235,1.0,0,0,0.0,145022.44,2,2002,1
2002-02-04,Maize (white),165657.5,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,165657.5,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1369.41,161555.0,157452.5,,,,,,160016.5625,4548.351049075368,160016.5625,4548.351049075368,160016.5625,4548.351049075368,160016.5625,4548.351049075368,165657.5,155401.25,165657.5,155401.25,2.5393828727058976,,,,0.0,-0.06616483215746705,,12.017683719420932,1.0,0,0,0.0,148705.12,3,2002,1
2002-02-11,Maize (white),169760.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,169760.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1403.32,165657.5,161555.0,155401.25,,,,,163606.25,5296.304725938642,161965.25,5873.886091209124,161965.25,5873.886091209124,161965.25,5873.886091209124,169760.0,157452.5,169760.0,155401.25,2.4764951783046385,9.239790542225368,,,1.013,-0.06288769440125908,,12.04214684449964,1.0,0,0,0.0,152387.79,4,2002,1
2002-02-18,Maize (white),172805.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,172805.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1428.49,169760.0,165657.5,157452.5,,,,,167444.375,4898.165632407708,163771.875,6869.16251036107,163771.875,6869.16251036107,163771.875,6869.16251036107,172805.0,161555.0,172805.0,155401.25,1.793708765315749,9.750559692605698,,,2.242,-0.6827864129888894,,12.059924856971513,1.0,0,0,0.0,155121.18,5,2002,1
2002-02-25,Maize (white),175850.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,175850.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1453.67,172805.0,169760.0,161555.0,,,,,171018.125,4353.50882191595,165497.32142857142,7756.372797462374,165497.32142857142,7756.372797462374,165497.32142857142,7756.372797462374,175850.0,165657.5,175850.0,155401.25,1.7621017910361303,8.848379808733874,,,3.336,-0.03160697427961878,,12.07739232455073,1.0,0,0,0.0,157854.58,6,2002,1
2002-03-04,Maize (white),178895.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,178895.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,1478.84,175850.0,172805.0,165657.5,,,,,174327.5,3931.078096400528,167172.03125,8602.561753460317,167172.03125,8602.561753460317,167172.03125,8602.561753460317,178895.0,169760.0,178895.0,155401.25,1.7315894228035367,7.9908848075094685,,,4.28,-0.030512368232593623,,12.094559910387149,1.0,0,0,0.0,160587.97,7,2002,1
2002-03-11,Maize (white),181940.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,181940.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,1504.01,178895.0,175850.0,169760.0,155401.25,,,,177372.5,3931.078096400528,170489.375,8531.721768745496,168812.91666666666,9433.244653219805,168812.91666666666,9433.244653219805,181940.0,172805.0,181940.0,155401.25,1.7021157662315822,7.174835061262952,,,5.07,-0.029473656571954443,,12.111437737678415,1.0,0,0,0.0,163321.36,8,2002,1
2002-03-18,Maize (white),183411.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,183411.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1516.17,181940.0,178895.0,172805.0,157452.5,,,,180024.0,3358.5583216612454,173734.1875,7767.236610723557,170272.725,10020.43728701082,170272.725,10020.43728701082,183411.0,175850.0,183411.0,155401.25,0.80850829943937,6.13755389022308,,,5.727,-0.8936074667922123,,12.119490267416458,1.0,0,0,0.0,164641.83,9,2002,1
2002-03-25,Maize (white),184882.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,184882.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1528.33,183411.0,181940.0,175850.0,161555.0,,,,182282.0,2557.562250790124,176650.0625,6868.481337849945,171600.8409090909,10477.168397444475,171600.8409090909,10477.168397444475,184882.0,178895.0,184882.0,155401.25,0.8020238698878579,5.136195621268125,,,6.224,-0.006484429551512072,,12.12747847155828,1.0,0,0,0.0,165962.3,10,2002,1
2002-04-01,Maize (white),186353.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,186353.0,120.97,160.55555555555554,97.0,11.4,12.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.1205366802553228,1540.49,184882.0,183411.0,178895.0,165657.5,,,,184146.5,1899.052834090364,179237.0,5976.201038882723,172830.1875,10859.437695306275,172830.1875,10859.437695306275,186353.0,181940.0,186353.0,155401.25,0.7956426261074734,4.168925906257859,,,6.548,-0.006381243780384516,1.245,12.135403369662278,1.0,0,0,0.333,167282.76,11,2002,2
