date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2014-05-19,Maize (yellow),69385.42,NGN,NGN/MT,WFP Nigeria Food Prices,retail,National,,,0.952,True,WFP VAM data — converted to NGN/MT,Agricome,historical,False,,70000.0,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,437.62,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14744645011418,1.0,0,0,0.333,62284.94,0,2014,2
2014-05-26,Maize (yellow),68770.83,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,68770.83,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844387,0.464723172043769,-0.8854560256532096,433.75,69385.42,,,,,,,69078.125,434.5807566494378,69078.125,434.5807566494378,69078.125,434.5807566494378,69078.125,434.5807566494378,69385.42,68770.83,69385.42,68770.83,-0.8857624555706267,,,,0.0,,,11.13854949240043,1.0,0,0,0.333,61733.24,1,2014,2
2014-06-02,Maize (yellow),67541.67,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,67541.67,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.3546048870425358,-0.9350162426854148,426.0,68770.83,69385.42,,,,,,68565.97333333333,938.7908212340651,68565.97333333333,938.7908212340651,68565.97333333333,938.7908212340651,68565.97333333333,938.7908212340651,69385.42,67541.67,69385.42,67541.67,-1.7873275631543284,,,,0.0,-0.9015651075837017,,11.120514825287293,1.0,0,0,0.667,60629.87,2,2014,2
2014-06-09,Maize (yellow),66312.5,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,66312.5,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.2393156642875576,-0.970941817426052,418.24,67541.67,68770.83,,,,,,68002.605,1362.750033339445,68002.605,1362.750033339445,68002.605,1362.750033339445,68002.605,1362.750033339445,69385.42,66312.5,69385.42,66312.5,-1.8198691267183653,,,,0.0,-0.032541563564036924,,11.102148775355737,1.0,0,0,0.667,59526.48,3,2014,2
2014-06-16,Maize (yellow),65083.33,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,65083.33,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,0.120536680255323,-0.992708874098054,410.49,66312.5,67541.67,69385.42,,,,,66927.0825,1586.8477735723854,67418.75,1759.9002940933867,67418.75,1759.9002940933867,67418.75,1759.9002940933867,68770.83,65083.33,69385.42,65083.33,-1.8536022620169623,-6.200279539995568,,,-0.729,-0.033733135298597006,,11.083439092616953,1.0,0,0,0.667,58423.1,4,2014,2
2014-06-23,Maize (yellow),65083.33,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,65083.33,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,410.49,65083.33,66312.5,68770.83,,,,,66005.2075,1176.8406780408325,67029.51333333334,1840.3342990301132,67029.51333333334,1840.3342990301132,67029.51333333334,1840.3342990301132,67541.67,65083.33,69385.42,65083.33,0.0,-5.362011771560704,,,-1.528,1.8536022620169623,,11.083439092616953,1.0,0,0,0.667,58423.1,5,2014,2
2014-06-30,Maize (yellow),65083.33,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,65083.33,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1.2246467991473532e-16,-1.0,-0.1205366802553228,-0.992708874098054,410.49,65083.33,65083.33,67541.67,,,,,65390.622500000005,614.5849999999399,66751.48714285715,1833.9707054068422,66751.48714285715,1833.9707054068422,66751.48714285715,1833.9707054068422,66312.5,65083.33,69385.42,65083.33,0.0,-3.6397382534367306,,,-2.039,0.0,,11.083439092616953,1.0,0,0,0.667,58423.1,6,2014,2
2014-07-07,Maize (yellow),65083.33,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,65083.33,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.2393156642875574,-0.970941817426052,410.49,65083.33,65083.33,66312.5,,,,,65083.33,0.0,66542.9675,1797.4424692303376,66542.9675,1797.4424692303376,66542.9675,1797.4424692303376,65083.33,65083.33,69385.42,65083.33,0.0,-1.8536022620169623,,,-2.194,0.0,,11.083439092616953,1.0,0,0,0.667,58423.1,7,2014,3
2014-07-14,Maize (yellow),62000.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,60166.67,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,391.04,65083.33,65083.33,65083.33,69385.42,,,,64312.4975,1541.6649999999995,65619.79000000001,2012.6939988341107,66038.19333333333,2262.768688007016,66038.19333333333,2262.768688007016,65083.33,62000.0,69385.42,62000.0,-4.73751112612093,-4.73751112612093,,,-2.613,-4.73751112612093,,11.034905792929415,1.0,0,0,0.667,55655.3,8,2014,3
2014-07-21,Maize (yellow),61008.33,NGN,NGN/MT,WFP Nigeria Food Prices,retail,National,,,0.952,True,WFP VAM data — converted to NGN/MT,Agricome,historical,False,,62000.0,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.464723172043768,-0.8854560256532101,384.79,62000.0,65083.33,65083.33,68770.83,,,,63293.7475,2105.7165677962585,64649.4775,2143.462465909831,65535.20700000001,2661.047198216227,65535.20700000001,2661.047198216227,65083.33,61008.33,69385.42,61008.33,-1.5994677419354786,-6.261203905823498,,,-3.42,3.1380433841854516,,11.018782082279337,1.0,0,0,0.667,54765.11,9,2014,3
2014-07-28,Maize (yellow),61008.33,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,61008.33,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936565,384.79,61008.33,62000.0,65083.33,67541.67,,,,62274.9975,1929.7018911976122,63832.810000000005,2128.66928970726,65123.67272727273,2869.8466868356923,65123.67272727273,2869.8466868356923,65083.33,61008.33,69385.42,61008.33,0.0,-6.261203905823498,,,-4.374,1.5994677419354786,,11.018782082279337,1.0,0,0,0.667,54765.11,10,2014,3
2014-08-04,Maize (yellow),60016.67,NGN,NGN/MT,Interpolated,retail,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,60016.67,158.55,160.55555555555554,99.72222222222224,11.4,12.5,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,378.53,61008.33,61008.33,65083.33,66312.5,,,,61008.3325,809.6910819308184,63045.83125,2241.7470290087545,64698.08916666667,3108.174274262969,64698.08916666667,3108.174274262969,62000.0,60016.67,69385.42,60016.67,-1.625450163936637,-7.784881320608528,,,-5.703,-1.625450163936637,-1.506,11.002394297847625,1.0,0,0,0.667,53874.93,11,2014,3
2014-08-11,Maize (yellow),60000.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,59025.0,158.55,157.25,100.15625,11.4,12.5,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,378.43,60016.67,61008.33,62000.0,65083.33,69385.42,,,60508.332500000004,577.3874910534199,62410.415,2301.3556425848346,63915.970833333326,3000.4345585248366,64336.697692307695,3248.6203861335575,61008.33,60000.0,68770.83,60000.0,-0.027775616341252363,-3.2258064516129004,-13.526501677153501,,-5.951,1.5976745475953846,-1.335,11.002116507732017,0.987,0,0,0.667,53859.96,12,2014,3
