date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2002-01-14,Sorghum,150090.31,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,148555.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,1240.72,,,,,,,,,,,,,,,,,,,,,,,,,,,11.918999121208746,1.0,0,0,0.333,134730.98,0,2002,1
2002-01-21,Sorghum,151625.62,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,151625.62,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,1253.42,150090.31,,,,,,,150857.965,1085.6281122235166,150857.965,1085.6281122235166,150857.965,1085.6281122235166,150857.965,1085.6281122235166,151625.62,150090.31,151625.62,150090.31,1.0229241314779092,,,,0.0,,,11.929176330443191,1.0,0,0,0.333,136109.17,1,2002,1
2002-01-28,Sorghum,154696.25,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,154696.25,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,1278.8,151625.62,150090.31,,,,,,152137.39333333334,2345.230218855565,152137.39333333334,2345.230218855565,152137.39333333334,2345.230218855565,152137.39333333334,2345.230218855565,154696.25,150090.31,154696.25,150090.31,2.0251392871468488,,,,0.0,1.0022151556689396,,11.949225260061851,1.0,0,0,0.333,138865.57,2,2002,1
2002-02-04,Sorghum,157766.88,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,157766.88,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1304.18,154696.25,151625.62,,,,,,153544.765,3404.337902172262,153544.765,3404.337902172262,153544.765,3404.337902172262,153544.765,3404.337902172262,157766.88,150090.31,157766.88,150090.31,1.9849414578569258,,,,0.0,-0.04019782928992299,,11.968880117879099,1.0,0,0,0.333,141621.97,3,2002,1
2002-02-11,Sorghum,160837.5,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,160837.5,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1329.57,157766.88,154696.25,150090.31,,,,,156231.5625,3964.1624111395176,155003.312,4396.468374749209,155003.312,4396.468374749209,155003.312,4396.468374749209,160837.5,151625.62,160837.5,150090.31,1.946302037537917,7.160482245655975,,,0.792,-0.0386394203190088,,11.988156034929423,1.0,0,0,0.333,144378.37,4,2002,1
2002-02-18,Sorghum,160837.5,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,160837.5,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1329.57,160837.5,157766.88,151625.62,,,,,158534.5325,2939.8991775611294,155975.67666666667,4597.4020496391895,155975.67666666667,4597.4020496391895,155975.67666666667,4597.4020496391895,160837.5,154696.25,160837.5,150090.31,0.0,6.0754112662490645,,,1.641,-1.946302037537917,,11.988156034929423,1.0,0,0,0.333,144378.37,5,2002,1
2002-02-25,Sorghum,160837.5,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,160837.5,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,1329.57,160837.5,160837.5,154696.25,,,,,160069.845,1535.3099999998267,156670.22285714286,4581.504361374159,156670.22285714286,4581.504361374159,156670.22285714286,4581.504361374159,160837.5,157766.88,160837.5,150090.31,0.0,3.969876451433052,,,2.17,0.0,,11.988156034929423,1.0,0,0,0.333,144378.37,6,2002,1
2002-03-04,Sorghum,160837.5,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,160837.5,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,1329.57,160837.5,160837.5,157766.88,,,,,160837.5,0.0,157191.1325,4490.251619054482,157191.1325,4490.251619054482,157191.1325,4490.251619054482,160837.5,160837.5,160837.5,150090.31,0.0,1.946302037537917,,,2.32,0.0,,11.988156034929423,1.0,0,0,0.333,144378.37,7,2002,1
2002-03-11,Sorghum,173120.0,NGN,NGN/MT,WFP Nigeria Food Prices,wholesale,National,,,0.96,True,WFP VAM data,WFP,historical,False,,173120.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,1431.1,160837.5,160837.5,160837.5,150090.31,,,,163908.125,6141.25,160069.84375,6303.602475523559,158961.00666666668,6770.092742690083,158961.00666666668,6770.092742690083,173120.0,160837.5,173120.0,150090.31,7.636589725654774,7.636589725654774,,,3.112,7.636589725654774,,12.061746050963682,1.0,0,0,0.333,155403.95,8,2002,1
2002-03-18,Sorghum,174580.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,174580.0,120.97,160.55555555555554,97.0,11.4,12.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1443.17,173120.0,160837.5,160837.5,151625.62,,,,167343.75,7536.377473074627,162939.14125000002,7086.451899800346,160522.90600000002,8070.735223489307,160522.90600000002,8070.735223489307,174580.0,160837.5,174580.0,150090.31,0.8433456561922403,8.544338229579541,,,4.249,-6.793244069462534,,12.07014409630593,1.0,0,0,0.333,156714.54,9,2002,1
