date,commodity,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt,fx_rate_usd_ngn,fuel_diesel_ngn_litre,fuel_petrol_ngn_litre,headline_inflation_yoy,food_inflation_yoy,season_dry,season_rainy,season_planting,season_planting_early,season_planting_late,season_harvesting,season_harvest_early,season_harvest_lean,cashew_harvest,cocoa_main_crop,cocoa_mid_crop,sesame_harvest,ginger_harvest,hibiscus_harvest,sorghum_harvest,maize_harvest,soybean_harvest,is_ramadan,is_lean_season,is_festive_period,month_sin,month_cos,week_sin,week_cos,price_usd_mt,price_lag_1w,price_lag_2w,price_lag_4w,price_lag_8w,price_lag_12w,price_lag_26w,price_lag_52w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_26w,rolling_std_26w,rolling_max_4w,rolling_min_4w,rolling_max_12w,rolling_min_12w,pct_change_1w,pct_change_4w,pct_change_12w,pct_change_52w,momentum_4w_vs_26w,acceleration_1w,price_zscore_52w,log_price,fuel_cost_index,shock_active,shock_severity,commodity_season_score,price_real_ngn_mt,weeks_since_start,year,quarter
2025-01-06,Soybeans,1030000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1050000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,656.05,,,,,,,,,,,,,,,,,,,,,,,,,,,13.845070331079134,1.0,0,0,0.0,772113.94,0,2025,1
2025-01-13,Soybeans,1020000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1010000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,649.68,1030000.0,,,,,,,1025000.0,7071.067811865475,1025000.0,7071.067811865475,1025000.0,7071.067811865475,1025000.0,7071.067811865475,1030000.0,1020000.0,1030000.0,1020000.0,-0.9708737864077666,,,,0.0,,,13.83531416565213,1.0,0,0,0.0,764617.69,1,2025,1
2025-01-20,Soybeans,1020000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1020000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,649.68,1020000.0,1030000.0,,,,,,1023333.3333333334,5773.502691896267,1023333.3333333334,5773.502691896267,1023333.3333333334,5773.502691896267,1023333.3333333334,5773.502691896267,1030000.0,1020000.0,1030000.0,1020000.0,0.0,,,,0.0,0.9708737864077666,,13.83531416565213,1.0,0,0,0.0,764617.69,2,2025,1
2025-01-27,Soybeans,1020000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,1020000.0,1570.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,649.68,1020000.0,1020000.0,,,,,,1022500.0,5000.00000000001,1022500.0,5000.00000000001,1022500.0,5000.00000000001,1022500.0,5000.00000000001,1030000.0,1020000.0,1030000.0,1020000.0,0.0,,,,0.0,0.0,,13.83531416565213,1.0,0,0,0.0,764617.69,3,2025,1
2025-02-03,Soybeans,980000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,980000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,618.3,1020000.0,1020000.0,1030000.0,,,,,1010000.0,20000.0,1014000.0,19493.58868961793,1014000.0,19493.58868961793,1014000.0,19493.58868961793,1020000.0,980000.0,1030000.0,980000.0,-3.9215686274509776,-4.854368932038833,,,-0.394,-3.9215686274509776,,13.795308871054397,1.0,0,0,0.0,734632.68,4,2025,1
2025-02-10,Soybeans,840000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,840000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,529.97,980000.0,1020000.0,1020000.0,,,,,965000.0,85440.0374531753,985000.0,73143.69419163896,985000.0,73143.69419163896,985000.0,73143.69419163896,1020000.0,840000.0,1030000.0,840000.0,-14.28571428571429,-17.647058823529417,,,-2.03,-10.364145658263313,,13.641158361294979,1.0,0,0,0.0,629685.16,5,2025,1
2025-02-17,Soybeans,830000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,810000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,523.66,840000.0,980000.0,1020000.0,,,,,917500.0,96738.47907287632,962857.1428571428,88828.35240212547,962857.1428571428,88828.35240212547,962857.1428571428,88828.35240212547,1020000.0,830000.0,1030000.0,830000.0,-1.1904761904761862,-18.627450980392158,,,-4.711,13.095238095238104,,13.629182184591333,1.0,0,0,0.0,622188.91,6,2025,1
2025-02-24,Soybeans,830000.0,NGN,NGN/MT,Agricom,wholesale,National,1650.0,,0.98,True,Historical data from Instagram posts (Jan-Feb 2025),Agricome,historical,False,,830000.0,1585.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,523.66,830000.0,840000.0,1020000.0,,,,,870000.0,73484.69228349533,946250.0,94708.1984684687,946250.0,94708.1984684687,946250.0,94708.1984684687,980000.0,830000.0,1030000.0,830000.0,0.0,-18.627450980392158,,,-8.058,1.1904761904761862,,13.629182184591333,1.0,0,0,0.0,622188.91,7,2025,1
2025-03-03,Soybeans,844000.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,844000.0,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,535.87,830000.0,830000.0,980000.0,1030000.0,,,,836000.0,7118.052168020897,923000.0,94039.50537635006,934888.8888888889,94921.60508077763,934888.8888888889,94921.60508077763,844000.0,830000.0,1030000.0,830000.0,1.6867469879518149,-13.877551020408163,,,-10.578,1.6867469879518149,,13.645908958411516,1.0,0,0,0.0,632683.66,8,2025,1
2025-03-10,Soybeans,858000.0,NGN,NGN/MT,Interpolated,wholesale,National,,,0.69,False,Gap-filled by interpolation,Interpolated,historical,False,,858000.0,1575.0,1380.0,924.2857142857144,33.4,39.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,544.76,844000.0,830000.0,840000.0,1020000.0,,,,840500.0,13403.97950858875,902750.0,87373.99089954795,927200.0,92737.14346354312,927200.0,92737.14346354312,858000.0,830000.0,1030000.0,830000.0,1.6587677725118377,2.1428571428571352,,,-9.351,-0.027979215439977168,,13.662360543970586,1.0,0,0,0.0,643178.41,9,2025,1
