commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt
Cashew Nuts,2026-02-23,1850000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,1850000.0
Cocoa,2026-02-23,6200000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,6200000.0
Ginger,2026-02-23,9700000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,9700000.0
Hibiscus,2026-02-23,2650000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,2650000.0
Sesame,2026-02-23,1250000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,1250000.0
Sorghum,2026-02-23,275000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,275000.0
Soybeans,2026-02-23,650000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,650000.0
Cashew Nuts,2026-03-02,1800000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,1800000.0
Cocoa,2026-03-02,6000000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,6000000.0
Ginger,2026-03-02,9900000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,9900000.0
Hibiscus,2026-03-02,2650000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,2650000.0
Sesame,2026-03-02,1280000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,1280000.0
Sorghum,2026-03-02,285000.0,NGN,NGN/MT,Agricom,wholesale,National,,,0.95,True,Scraped from @agricomeafrica social media posts,Agricome,historical,False,,285000.0
