date,price_ngn_mt,commodity,source
2002-01-20,358700.0,Rice,WFP
2002-01-27,357602.3076923077,Rice,WFP
2002-02-03,356504.6153846154,Rice,WFP
2002-02-10,355406.92307692306,Rice,WFP
2002-02-17,354309.23076923075,Rice,WFP
2002-02-24,353211.53846153844,Rice,WFP
2002-03-03,352113.8461538461,Rice,WFP
2002-03-10,351016.1538461539,Rice,WFP
2002-03-17,349918.46153846156,Rice,WFP
2002-03-24,348820.76923076925,Rice,WFP
2002-03-31,347723.07692307694,Rice,WFP
2002-04-07,346625.3846153846,Rice,WFP
2002-04-14,345527.6923076923,Rice,WFP
2002-04-21,344430.0,Rice,WFP
2002-04-28,345720.0,Rice,WFP
2002-05-05,347010.0,Rice,WFP
2002-05-12,348300.0,Rice,WFP
2002-05-19,349590.0,Rice,WFP
2002-05-26,348175.0,Rice,WFP
2002-06-02,346760.0,Rice,WFP
2002-06-09,345345.0,Rice,WFP
2002-06-16,343930.0,Rice,WFP
2002-06-23,339099.0,Rice,WFP
2002-06-30,334268.0,Rice,WFP
2002-07-07,329437.0,Rice,WFP
2002-07-14,324606.0,Rice,WFP
2002-07-21,319775.0,Rice,WFP
2002-07-28,314705.0,Rice,WFP
2002-08-04,309635.0,Rice,WFP
2002-08-11,304565.0,Rice,WFP
2002-08-18,299495.0,Rice,WFP
2002-08-25,293958.75,Rice,WFP
2002-09-01,288422.5,Rice,WFP
2002-09-08,282886.25,Rice,WFP
2002-09-15,277350.0,Rice,WFP
2002-09-22,271665.0,Rice,WFP
2002-09-29,265980.0,Rice,WFP
2002-10-06,260295.0,Rice,WFP
2002-10-13,254610.0,Rice,WFP
2002-10-20,248925.0,Rice,WFP
2002-10-27,253566.25,Rice,WFP
2002-11-03,258207.5,Rice,WFP
2002-11-10,262848.75,Rice,WFP
2002-11-17,267490.0,Rice,WFP
2002-11-24,270027.5,Rice,WFP
2002-12-01,272565.0,Rice,WFP
2002-12-08,275102.5,Rice,WFP
2002-12-15,277640.0,Rice,WFP
2002-12-22,273489.3333333333,Rice,WFP
2002-12-29,269338.6666666667,Rice,WFP
2003-01-05,265188.0,Rice,WFP
2003-01-12,261037.3333333333,Rice,WFP
2003-01-19,256886.66666666666,Rice,WFP
2003-01-26,267917.5,Rice,WFP
2003-02-02,278948.3333333333,Rice,WFP
2003-02-09,289979.1666666667,Rice,WFP
2003-02-16,301010.0,Rice,WFP
2003-02-23,280887.5,Rice,WFP
2003-03-02,260765.0,Rice,WFP
2003-03-09,240642.5,Rice,WFP
2003-03-16,220520.0,Rice,WFP
2003-03-23,235202.0,Rice,WFP
2003-03-30,249884.0,Rice,WFP
2003-04-06,264566.0,Rice,WFP
2003-04-13,279248.0,Rice,WFP
2003-04-20,293930.0,Rice,WFP
2003-04-27,294447.5,Rice,WFP
2003-05-04,294965.0,Rice,WFP
2003-05-11,295482.5,Rice,WFP
