commodity,date,price_ngn_mt,currency,unit,source,market_type,region,fx_rate,rainfall_index,data_quality_score,is_validated,notes,data_source,record_type,outlier_flag,outlier_reason,price_raw_ngn_mt
Wheat,2025-01-06,620000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,620000.0
Wheat,2025-01-13,600000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,600000.0
Wheat,2025-01-20,600000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,600000.0
Wheat,2026-01-05,667777.78,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,667777.78
Wheat,2026-01-12,676250.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,676250.0
Wheat,2026-01-19,681428.57,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,681428.57
Wheat,2026-01-26,676250.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,676250.0
Wheat,2026-02-02,667777.78,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,667777.78
Wheat,2026-02-09,667777.78,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,667777.78
Wheat,2026-02-16,681000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,681000.0
Wheat,2026-02-23,681000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,681000.0
Wheat,2026-03-02,662000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,662000.0
Wheat,2026-03-09,662000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,662000.0
Wheat,2026-03-16,660000.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,660000.0
Wheat,2026-03-23,680600.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,680600.0
Wheat,2026-04-06,683750.0,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,683750.0
Wheat,2026-04-13,706833.33,NGN,NGN/MT,Agrolinking Primary Collection,wholesale,National,,,0.92,True,Primary data collected by Agrolinking across 10 states — converted from NGN/100kg to NGN/MT,Agrolinking_primary,historical,False,,706833.33
