2026-04-11 15:39:04.534 | INFO     | __main__:run_cleaning:366 - ============================================================
2026-04-11 15:39:04.537 | INFO     | __main__:run_cleaning:367 - STEP 2 — DATA CLEANING & STANDARDIZATION
2026-04-11 15:39:04.538 | INFO     | __main__:run_cleaning:368 - ============================================================
2026-04-11 15:39:04.538 | INFO     | __main__:load_master:59 - Loading master dataset...
2026-04-11 15:39:04.669 | SUCCESS  | __main__:load_master:66 - Loaded: 7,637 rows | 11 commodities
2026-04-11 15:39:04.722 | INFO     | __main__:remove_duplicates:92 -   No duplicates found
2026-04-11 15:39:04.788 | INFO     | __main__:flag_hard_bound_outliers:117 -   Hard-bound outliers flagged: 4,572
2026-04-11 15:39:04.808 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-01-04 | ₦101,490/MT | Below hard floor 500,000
2026-04-11 15:39:04.808 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-01-11 | ₦99,585/MT | Below hard floor 500,000
2026-04-11 15:39:04.810 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-01-18 | ₦101,943/MT | Below hard floor 500,000
2026-04-11 15:39:04.811 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-01-25 | ₦104,569/MT | Below hard floor 500,000
2026-04-11 15:39:04.811 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-02-01 | ₦104,262/MT | Below hard floor 500,000
2026-04-11 15:39:04.812 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-02-08 | ₦104,262/MT | Below hard floor 500,000
2026-04-11 15:39:04.813 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-02-15 | ₦109,975/MT | Below hard floor 500,000
2026-04-11 15:39:04.813 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-02-22 | ₦107,417/MT | Below hard floor 500,000
2026-04-11 15:39:04.814 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-03-01 | ₦108,451/MT | Below hard floor 500,000
2026-04-11 15:39:04.815 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-03-08 | ₦111,790/MT | Below hard floor 500,000
2026-04-11 15:39:04.816 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-03-15 | ₦108,471/MT | Below hard floor 500,000
2026-04-11 15:39:04.816 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-03-22 | ₦108,463/MT | Below hard floor 500,000
2026-04-11 15:39:04.817 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-03-29 | ₦110,798/MT | Below hard floor 500,000
2026-04-11 15:39:04.818 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-04-05 | ₦98,973/MT | Below hard floor 500,000
2026-04-11 15:39:04.819 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-04-12 | ₦99,567/MT | Below hard floor 500,000
2026-04-11 15:39:04.819 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-04-19 | ₦103,229/MT | Below hard floor 500,000
2026-04-11 15:39:04.820 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-04-26 | ₦101,810/MT | Below hard floor 500,000
2026-04-11 15:39:04.822 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-05-03 | ₦95,896/MT | Below hard floor 500,000
2026-04-11 15:39:04.822 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-05-10 | ₦92,412/MT | Below hard floor 500,000
2026-04-11 15:39:04.823 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-05-17 | ₦90,975/MT | Below hard floor 500,000
2026-04-11 15:39:04.824 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-05-24 | ₦99,177/MT | Below hard floor 500,000
2026-04-11 15:39:04.824 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-05-31 | ₦94,357/MT | Below hard floor 500,000
2026-04-11 15:39:04.825 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-06-07 | ₦90,182/MT | Below hard floor 500,000
2026-04-11 15:39:04.826 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-06-14 | ₦86,153/MT | Below hard floor 500,000
2026-04-11 15:39:04.827 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-06-21 | ₦88,530/MT | Below hard floor 500,000
2026-04-11 15:39:04.827 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-06-28 | ₦90,299/MT | Below hard floor 500,000
2026-04-11 15:39:04.828 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-07-05 | ₦86,892/MT | Below hard floor 500,000
2026-04-11 15:39:04.829 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-07-12 | ₦91,014/MT | Below hard floor 500,000
2026-04-11 15:39:04.830 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2010-07-19 | ₦88,378/MT | Below hard floor 500,000
